'fulfill via','vendor inco term','shipment mode','po sent to vendor date',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','first line designation','weight (kilograms)','line item insurance (usd)','sub classification'
'Direct Drop',FCA,Air,11/5/14,Norvir,100mg,Tablet,59.059059,0.437098,0.313038,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',True,0.043156,0.249078,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC','Videx EC',250mg,'Delayed-release capsules - blister',29.029029,0.159678,0.320229,14.164264,2.681752,'BMS Meymac France',True,1.519792,0.39567,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,0.054839,0.036458,4.607473,0.125707,'Aurobindo Unit III India',False,1.122057,0.045405,Pediatric
'Direct Drop',DDP,Air,'N/A - From RDC',Epivir,10mg/ml,'Oral solution',239.239239,3.224204,1.743954,3.856901,0.083805,'GSK Mississauga (Canada)',False,1.519792,2.638666,Pediatric
'Direct Drop',CIP,Air,7/15/09,Generic,600mg,Tablet,29.029029,45.214662,32.875947,5.187123,0.963754,'Hetero Unit III Hyderabad IN',True,2.645348,49.754555,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Norvir,100mg,Capsule,335.335335,1.651618,6.606025,28.506881,0.460926,'ABBVIE (Abbott) France',True,1.674921,8.161184,Adult
'Direct Drop',EXW,Air,6/13/12,Stat-Pak,300mg,'Test kit',19.019019,3.474205,10.499849,21.551083,6.075843,'Chembio Diagnostics Sys. Inc.',True,0.725488,11.366762,'HIV test'
'Direct Drop',EXW,Air,3/19/14,Determine,300mg,'Test kit',99.099099,8.846803,73.736678,59.451265,3.352189,'Alere Medical Co. Ltd.',True,2.594028,58.529352,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,30/60mg,'Tablet - FDC',59.059059,86.664796,24.916552,2.051069,0.209512,'Mylan (formerly Matrix) Nashik',True,2.603359,26.973032,Pediatric
'Direct Drop',DDP,Truck,12/2/13,Generic,100/25mg,Tablet,59.059059,0.01129,0.007772,4.295354,0.419024,'ABBVIE Ludwigshafen Germany',False,1.519792,0.006486,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,161.28923,188.508369,8.33804,0.796145,'Aurobindo Unit III India',True,13.675798,313.815766,Adult
'Direct Drop',EXW,Air,4/20/09,Determine,300mg,'Test kit',99.099099,0.288711,2.116939,52.019857,2.933166,'Inverness Japan',True,0.050154,3.20428,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,'Chewable/dispersible tablet',59.059059,0.156452,0.255209,11.518683,1.089462,'Aurobindo Unit III India',True,0.089811,0.315239,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,17.679089,16.133615,6.509913,0.628536,'Aurobindo Unit III India',True,3.072243,24.416095,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,0.783873,0.594841,5.402634,0.502828,'Aurobindo Unit III India',False,1.496465,0.568208,Adult
'Direct Drop',EXW,Air,8/12/13,'Colloidal Gold',300mg,'Test kit',0.0,4.817757,12.299415,18.20695,102.6608,'KHB Test Kit Facility Shanghai China',True,2.323428,11.748162,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.106452,0.129002,8.516394,0.796145,'Aurobindo Unit III India',False,0.717323,0.123242,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150mg,Tablet,59.059059,0.032258,0.008609,1.813264,0.167609,'Aurobindo Unit III India',True,0.001166,0.012973,Adult
'Direct Drop',DDP,Air,11/12/07,Stocrin/Sustiva,600mg,Tablet,29.029029,0.966132,2.183471,16.09643,3.01697,'MSD Midrand J burg SA',False,1.519792,2.697044,Adult
'Direct Drop',DDP,Air,11/12/07,Epivir,10mg/ml,'Oral solution',239.239239,0.804841,0.60988,5.395202,0.125707,'GSK Mississauga (Canada)',False,1.519792,0.753719,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,424.759435,493.341463,8.28602,1.550388,'Mylan (formerly Matrix) Nashik',False,103.528997,391.594149,Adult
'Direct Drop',EXW,Air,10/27/08,'Colloidal Gold',300mg,'Test kit',0.0,5.659696,13.56353,17.092239,96.375445,'KHB Test Kit Facility Shanghai China',True,2.956772,20.526851,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/200/30mg,'Tablet - FDC',59.059059,71.611521,55.201702,5.499242,0.502828,'Cipla Goa India',False,5.469153,68.197975,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,69.434095,81.152853,8.33804,0.796145,'Aurobindo Unit III India',True,5.910044,135.097374,Adult
'Direct Drop',FCA,Ocean,10/11/11,Aluvia,200/50mg,Tablet,119.119119,2.535492,8.145151,22.9036,1.089462,'ABBVIE Ludwigshafen Germany',True,0.458387,10.376937,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/200/300mg,'Tablet - FDC',29.029029,86.751893,117.117044,9.631105,1.801802,'Cipla Goa India',True,7.397178,111.863101,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,0.425808,0.8227,13.733242,1.298973,'Cipla Goa India',False,1.519792,0.786151,Adult
'Direct Drop',CIP,Air,11/21/07,Generic,150/200/30mg,'Tablet - FDC',59.059059,55.766309,40.664044,5.201986,0.502828,'Cipla Goa India',True,4.264283,50.237143,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,21.55007,16.186185,5.358045,0.502828,'Aurobindo Unit III India',False,1.393823,26.945789,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.014516,0.02458,10.87215,1.005657,'Mylan (formerly Matrix) Nashik',False,0.053653,0.027243,Adult
'Direct Drop',EXW,Air,2/24/12,Generic,50mg,'Chewable/dispersible tablet',29.029029,4.666144,0.60778,0.928926,0.167609,'Aurobindo Unit III India',True,1.73324,0.657721,Pediatric
'Direct Drop',FCA,Air,4/23/14,Generic,100/25mg,Tablet,59.059059,0.72097,0.447097,4.414256,0.419024,'ABBVIE Ludwigshafen Germany',True,0.073482,0.355455,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200/300mg,'Tablet - FDC',29.029029,48.38564,59.223886,8.731905,1.634192,'Mylan (formerly Matrix) Nashik',True,3.149224,98.591933,Adult
'Direct Drop',DDU,Air,1/25/11,Videx,50mg,'Chewable/dispersible tablet',59.059059,0.258065,2.045504,56.196308,5.279698,'Bristol-Myers Squibb Anagni IT',True,1.519792,2.606234,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,161.28923,188.508369,8.33804,0.796145,'Cipla Goa India',False,32.761263,240.165325,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150mg,Tablet,59.059059,0.079033,0.020497,1.813264,0.167609,'Aurobindo Unit III India',True,0.130634,0.031135,Adult
'Direct Drop',DDP,Truck,10/16/12,Determine,300mg,'Test kit',99.099099,1.611296,22.345466,98.837728,5.573015,'Alere Medical Co. Ltd.',True,1.519792,21.34284,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,125.937503,72.677248,4.117,0.754243,'Mylan (formerly Matrix) Nashik',False,9.836077,92.593313,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,77.979284,132.079931,12.08347,2.262728,'Aurobindo Unit III India',False,10.709695,163.174391,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600/200/300mg,'Tablet - FDC',29.029029,129.031061,267.742367,14.803365,2.765556,'Mylan (formerly Matrix) Nashik',False,1.519792,341.11182,Adult
'Direct Drop',DDP,Truck,10/15/09,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.159678,0.812364,35.930858,0.670438,'ABBVIE (Abbott) Logis. UK',True,1.519792,1.229821,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200mg,Capsule,89.089089,1.611296,1.691871,7.483428,0.460926,'Aurobindo Unit III India',True,0.138799,2.816393,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,0.256452,0.056452,1.560596,0.041902,'Aurobindo Unit III India',False,0.46072,0.054486,Pediatric
'Direct Drop',EXW,Air,4/29/09,Generic,600mg,Tablet,29.029029,10.566163,7.155253,4.830415,0.921852,'Mylan (formerly Matrix) Nashik',True,0.611183,10.828391,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC',Generic,200mg,Capsule,89.089089,0.877422,2.18535,17.738771,1.131364,'Aurobindo Unit III India',False,1.519792,2.087322,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,80.643809,100.89062,8.925121,1.676095,'Mylan (formerly Matrix) Nashik',True,4.525552,124.6426,Adult
'Direct Drop',EXW,Air,5/29/13,Determine,300mg,'Test kit',99.099099,4.900016,0.0,0.0,0.0,'Alere Medical Co. Ltd.',True,1.466139,0.0,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,24.385563,22.78673,6.665973,0.628536,'Cipla Goa India',True,6.711347,24.667767,Adult
'Direct Drop',DDP,Truck,8/7/09,Epivir,10mg/ml,'Oral solution',239.239239,0.48226,0.34279,5.053358,0.125707,'GSK Mississauga (Canada)',True,1.519792,0.518912,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,0.422582,0.106932,1.798401,0.167609,'Hetero Unit III Hyderabad IN',False,0.903944,0.115458,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,29.029029,3.546786,2.698257,5.424928,1.005657,'Mylan (formerly Matrix) Nashik',True,7.682941,4.492478,Adult
'Direct Drop',EXW,Air,8/10/12,Uni-Gold,300mg,'Test kit',19.019019,9.74358,32.483923,23.780506,6.704379,'Trinity Biotech Plc',True,2.321095,35.165351,'HIV test'
'Direct Drop',DDP,Truck,8/27/14,Generic,150mg,Tablet,59.059059,0.527421,0.542694,7.319937,0.670438,'Hetero Unit III Hyderabad IN',False,1.519792,0.518912,Adult
'Direct Drop',EXW,Air,2/15/12,Determine,300mg,'Test kit',99.099099,0.545163,5.069061,66.139532,3.729311,'Alere Medical Co. Ltd.',False,0.204116,5.487492,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,46.604989,45.8783,7.022681,0.670438,'Aurobindo Unit III India',False,4.455569,56.679432,Adult
'Direct Drop',EXW,Air,10/22/09,Uni-Gold,300mg,'Test kit',19.019019,1.611296,5.376353,23.780506,6.704379,'Trinity Biotech Plc',True,0.404734,8.136536,'HIV test'
'Direct Drop',EXW,Air,1/16/09,Generic,150mg,Tablet,59.059059,14.514563,3.629038,1.783538,0.167609,'Aurobindo Unit III India',True,2.598693,5.492681,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,6.574215,1.301464,1.411968,0.041902,'Aurobindo Unit III India',True,1.637597,2.166457,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,27.525895,75.270409,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',True,1.727408,113.914099,Adult
'Direct Drop',DDP,Air,'N/A - From RDC',Kaletra,80/20mg/ml,'Oral solution',299.299299,0.12742,0.401345,22.190185,0.419024,'ABBVIE (Abbott) Logis. UK',False,1.519792,0.607127,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,516.612957,415.443546,5.737047,0.544731,'Mylan (formerly Matrix) Nashik',True,101.563648,329.761923,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,112.901977,45.749402,2.890818,0.251414,'Strides Bangalore India.',True,3.937697,36.313443,Pediatric
'Direct Drop',FCA,Air,2/5/09,Aluvia,200/50mg,Tablet,119.119119,20.256517,86.729979,30.543087,1.42468,'ABBVIE Ludwigshafen Germany',True,3.584284,131.25613,Adult
'Direct Drop',EXW,Air,10/16/13,Generic,600/300mg,'Tablet - FDC',29.029029,15.821019,22.234058,10.02497,1.885607,'Mylan (formerly Matrix) Nashik',True,1.122057,21.236463,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Kaletra,80/20mg/ml,'Oral solution',299.299299,1.443553,6.187107,30.543087,0.586633,'ABBVIE (Abbott) Logis. UK',True,1.519792,9.363762,Pediatric
'Direct Drop',EXW,Air,8/14/12,Generic,30/60mg,'Tablet - FDC',59.059059,3.169365,0.743197,1.672067,0.167609,'Mylan (formerly Matrix) Nashik',True,0.106141,0.804313,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/30mg,'Tablet - FDC',29.029029,88.759964,18.491965,1.486282,0.293317,'Cipla Goa India',True,4.284111,22.845089,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Capsule,89.089089,2.030652,2.055548,7.215897,0.460926,'Aurobindo Unit III India',True,0.226278,3.422223,Pediatric
'Direct Drop',EXW,Air,4/9/12,Determine,300mg,'Test kit',99.099099,0.48226,5.040331,74.314081,4.190237,'Alere Medical Co. Ltd.',True,0.159794,5.456357,'HIV test'
'Direct Drop',EXW,Air,4/29/09,Generic,150/200/30mg,'Tablet - FDC',59.059059,57.443734,40.391194,5.0162,0.460926,'Cipla Goa India',True,4.057834,61.127803,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,11.175843,29.631852,18.912934,1.759899,'Mylan (formerly Matrix) Nashik',True,0.801303,44.844352,Adult
'Direct Drop',DDP,Truck,8/24/15,Intelence,100mg,Tablet,119.119119,0.027419,0.083204,20.443804,0.963754,'Janssen-Cilag Latina IT',False,1.519792,0.066161,Adult
'Direct Drop',EXW,Air,5/21/13,Stat-Pak,300mg,'Test kit',19.019019,3.062913,9.257407,21.551083,6.075843,'Chembio Diagnostics Sys. Inc.',True,0.641509,8.842256,'HIV test'
'Direct Drop',EXW,Air,7/31/13,Generic,300/300mg,'Tablet - FDC',29.029029,26.959764,12.918972,3.418448,0.628536,'Cipla Kurkumbh India',True,2.185795,12.339721,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,17.680702,4.45741,1.798401,0.167609,'Aurobindo Unit III India',False,5.46682,5.679489,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Tablet,59.059059,58.063091,14.63712,1.798401,0.167609,'Mylan (formerly Matrix) Nashik',False,9.299543,15.84497,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,98.127736,116.528414,8.471805,0.796145,'Mylan (formerly Matrix) Nashik',True,8.937965,193.988667,Adult
'Direct Drop',EXW,Air,2/6/13,Generic,150/300/200mg,'Tablet - FDC',59.059059,62.974397,53.857521,6.101186,0.586633,'Hetero Unit III Hyderabad IN',True,5.939204,51.441018,Adult
'Direct Drop',EXW,Air,6/12/08,Determine,300mg,'Test kit',99.099099,2.250007,16.884779,53.498707,3.01697,'Inverness Japan',True,0.482881,25.553809,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Stocrin/Sustiva,50mg,Capsule,29.029029,0.548389,0.195938,2.541542,0.460926,'MSD Manati Puerto Rico (USA)',False,1.946687,31.149964,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,5.393566,4.642094,6.138343,0.586633,'Cipla Goa India',False,14.401286,5.914297,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/200/30mg,'Tablet - FDC',59.059059,0.198388,0.127292,4.54059,0.419024,'Strides Bangalore India.',True,0.010497,0.211457,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,18.666189,20.009518,7.646919,0.71234,'Mylan (formerly Matrix) Nashik',False,16.695554,25.492836,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Uni-Gold,300mg,'Test kit',19.019019,1.71936,5.736568,23.780506,6.704379,'Trinity Biotech Plc',True,0.346415,7.087037,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,4.850016,0.970324,1.42683,0.041902,'Aurobindo Unit III India',False,1.304012,1.198686,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Capsule,89.089089,0.169355,0.157967,6.591659,0.419024,'Aurobindo Unit III India',False,0.342916,0.201078,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,71.184101,92.096368,9.229809,1.717997,'Aurobindo Unit III India',True,4.761161,113.777885,Adult
'Direct Drop',DDP,Air,'N/A - From RDC',Invirase,200mg,Capsule,269.269269,0.046774,0.274648,40.493743,0.838047,'Roche Basel',False,1.519792,0.415129,Adult
'Direct Drop',CIP,Air,5/20/08,OraQuick,300mg,'Test kit',99.099099,0.085484,3.175408,260.099284,14.665829,'Pacific Biotech Thailand',True,1.519792,3.922973,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/200/300mg,'Tablet - FDC',29.029029,80.643809,99.882554,8.835944,1.676095,'Cipla Goa India',True,6.352102,79.283227,Adult
'Direct Drop',CIP,Air,9/29/10,Generic,300/300mg,'Tablet - FDC',29.029029,223.260398,203.493692,6.502482,1.215169,'Mylan (formerly Matrix) Nashik',True,15.334389,338.762447,Adult
'Direct Drop',DDP,Ocean,9/24/10,Generic,600mg,Tablet,29.029029,156.069858,73.646107,3.366428,0.628536,'Aurobindo Unit III India',True,9.8769,122.600682,Adult
