'fulfill via','vendor inco term','shipment mode','po sent to vendor date',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','first line designation','weight (kilograms)','line item insurance (usd)','sub classification'
'Direct Drop',DDP,Truck,6/2/15,Generic,300mg,Tablet,59.059059,0.048387,0.259646,37.045569,3.477897,'Aurobindo Unit III India',False,1.519792,0.206267,Adult
'Direct Drop',DDP,Ocean,6/17/10,Generic,150mg,Tablet,59.059059,120.966519,31.376059,1.850421,0.167609,'Strides Bangalore India.',True,4.379754,52.232358,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,20mg/ml,'Oral solution',239.239239,0.387098,0.344575,6.324128,0.167609,'Aurobindo Unit III India',True,0.074648,0.329509,Pediatric
'Direct Drop',EXW,Air,4/15/09,Genie,300mg,'Test kit',39.039039,0.766132,8.797057,81.745489,11.523151,'Bio-Rad Laboratories',True,0.622847,13.313978,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,264.087949,116.914461,3.158348,0.293317,'Mylan (formerly Matrix) Nashik',True,10.740021,148.952317,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',LAV,300mg,'Test kit',17.017017,0.012903,0.465984,229.013704,71.736853,'Bio-Rad Laboratories',True,0.015163,0.575992,'HIV test'
'Direct Drop',DDP,Truck,2/20/08,Kaletra,133.3/33.3mg,Capsule,179.179179,0.64355,2.647854,29.279748,0.921852,'ABBVIE (Abbott) Logis. UK',False,1.519792,3.271739,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,30mg,Capsule,59.059059,23.301688,3.422667,1.047829,0.083805,'Strides Bangalore India.',False,7.271209,5.697651,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,29.751709,14.318763,3.433311,0.628536,'Hetero Unit III Hyderabad IN',True,2.223119,11.365464,Adult
'Direct Drop',EXW,Air,8/27/14,Uni-Gold,300mg,'Test kit',19.019019,0.074194,0.252689,23.780506,6.704379,'Trinity Biotech Plc',False,0.593687,0.201078,'HIV test'
'Direct Drop',EXW,Air,8/4/14,Generic,500/25mg,'Tablet - FDC',1000.0,2.208072,6.28378,20.287744,0.125707,'Guilin OSD site No 17 China',True,1.312177,4.988039,Malaria
'Direct Drop',EXW,Air,9/12/12,Determine,300mg,'Test kit - Ancillary',0.0,0.353227,0.240256,4.830415,27.236539,'Alere Medical Co. Ltd.',True,1.519792,0.259456,'HIV test - Ancillary'
'Direct Drop',EXW,Air,2/25/11,Uni-Gold,300mg,'Test kit',19.019019,0.211291,0.709679,23.780506,6.704379,'Trinity Biotech Plc',True,0.058319,0.904204,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,156.127923,37.568609,1.716655,0.167609,'Cipla Goa India',True,13.772607,35.882747,Adult
'Direct Drop',EXW,Air,6/2/14,Determine,300mg,'Test kit',99.099099,10.280678,95.325255,66.139532,3.729311,'Alere Medical Co. Ltd.',True,4.390252,75.665115,'HIV test'
'Direct Drop',EXW,Air,4/30/14,Generic,150/300/200mg,'Tablet - FDC',59.059059,32.256556,27.217786,6.019441,0.544731,'Mylan (formerly Matrix) Nashik',True,4.861469,21.60489,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.787099,0.933308,8.44208,0.796145,'Aurobindo Unit III India',True,2.385246,0.740747,Adult
'Direct Drop',EXW,Air,10/23/09,Bioline,300mg,'Test kit',24.024024,13.748431,28.64588,14.862816,3.352189,'Standard Diagnostics Korea',True,3.31485,43.352481,'HIV test'
'Direct Drop',EXW,Air,9/24/10,'Colloidal Gold',300mg,'Test kit',0.0,0.579034,1.391131,17.092239,96.375445,'KHB Test Kit Facility Shanghai China',True,0.304425,2.315644,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/200/30mg,'Tablet - FDC',59.059059,122.579428,94.4894,5.499242,0.502828,'Cipla Goa India',False,10.328289,142.999102,Adult
'Direct Drop',EXW,Air,8/6/13,Uni-Gold,300mg,'Test kit',19.019019,0.027419,0.096774,23.780506,6.704379,'Trinity Biotech Plc',False,0.205283,0.092107,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,18.590383,22.697691,8.70961,1.634192,'Aurobindo Unit III India',True,1.146551,34.35066,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200/50mg,Tablet,119.119119,2.535492,6.543606,18.400166,0.87995,'Aurobindo Unit III India',True,0.452555,6.250292,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,50mg,Capsule,29.029029,1.759683,0.410968,1.664635,0.293317,'Aurobindo Unit III India',True,1.848711,0.621397,Pediatric
'Direct Drop',EXW,Air,4/11/13,Determine,300mg,'Test kit',99.099099,0.129033,1.088711,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.043156,1.040418,'HIV test'
'Direct Drop',EXW,Air,5/18/09,Clearview,300mg,'Test kit',24.024024,1.53065,11.970785,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.',True,0.886448,18.116506,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,0.070968,0.045968,4.518296,0.838047,'Mylan (formerly Matrix) Nashik',False,0.597186,0.049297,Adult
'Direct Drop',EXW,Air,10/2/08,Determine,300mg,'Test kit',99.099099,8.869383,66.523125,53.498707,3.01697,'Inverness Japan',True,1.8942,100.675364,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,29.029029,4.282272,1.802799,3.002289,0.544731,'Mylan (formerly Matrix) Nashik',True,0.194785,1.72149,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,60.385679,165.121234,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',True,6.662359,249.893623,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,98.584189,110.703461,8.011058,1.508485,'Hetero Unit III Hyderabad IN',True,9.658787,105.737348,Adult
'Direct Drop',DDP,Ocean,3/24/11,Generic,10mg/ml,'Oral suspension',239.239239,17.100055,4.026011,1.679498,0.041902,'Aurobindo Unit III India',True,4.453236,5.129443,Pediatric
'Direct Drop',EXW,Air,1/9/07,Generic,150/200/30mg,'Tablet - FDC',59.059059,112.901977,88.205787,5.573556,0.502828,'Cipla Goa India',True,7.946543,31.149964,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.506453,1.133621,15.918076,1.508485,'Aurobindo Unit III India',True,1.218866,1.887541,Adult
'Direct Drop',DDP,Ocean,12/14/10,Generic,300mg,Tablet,29.029029,175.284436,121.421911,4.941886,0.921852,'Aurobindo Unit III India',True,11.831752,154.695373,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,58.074381,20.145078,2.474659,0.460926,'Aurobindo Unit III India',True,22.345496,19.241247,Adult
'Direct Drop',DDP,Truck,8/29/14,Generic,200/300mg,'Tablet - FDC',29.029029,0.087097,0.307978,24.768883,4.651163,'Aurobindo Unit III India',False,1.519792,0.294482,Adult
'Direct Drop',CIP,Air,9/14/09,Crixivan,400mg,Capsule,179.179179,0.075807,0.403226,37.157041,1.173266,'MSD Haarlem NL',True,0.01283,0.609721,Adult
'Direct Drop',DDP,Air,12/14/10,Ziagen,20mg/ml,'Oral solution',239.239239,51.611457,53.871055,7.446271,0.167609,'GSK Mississauga (Canada)',True,14.304476,68.633861,Pediatric
'Direct Drop',FCA,Air,3/31/08,Aluvia,200/50mg,Tablet,119.119119,1.288714,11.048405,61.086175,2.849361,'ABBVIE Ludwigshafen Germany',True,0.242607,13.649973,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,6.385504,2.761093,3.084034,0.293317,'Mylan (formerly Matrix) Nashik',False,0.130634,2.637369,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,20mg,Capsule,59.059059,0.811293,0.121089,1.062691,0.083805,'Aurobindo Unit III India',False,0.454888,0.201078,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,12.901655,2.620972,1.449125,0.041902,'Aurobindo Unit III India',True,3.601779,3.339197,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,96.247085,86.022135,6.376148,0.586633,'Strides Bangalore India.',True,8.116834,82.163187,Adult
'Direct Drop',DDP,Air,4/28/08,Stat-Pak,300mg,'Test kit',19.019019,0.129033,0.638121,34.845873,9.805154,'Chembio Diagnostics Sys. Inc.',True,1.519792,0.788746,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,22.596847,19.09096,6.026872,0.586633,'Mylan (formerly Matrix) Nashik',True,2.046996,15.15352,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,0.008065,0.002349,1.731518,0.167609,'Hetero Unit III Hyderabad IN',True,0.006998,0.002595,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,9.675838,26.461736,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',True,1.82655,32.69144,Adult
'Direct Drop',EXW,Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,0.669357,0.304033,3.232663,0.083805,'Aurobindo Unit III India',False,0.587855,31.149964,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300mg,'Tablet - FDC',29.029029,2.88388,4.06373,10.047264,1.885607,'Mylan (formerly Matrix) Nashik',True,0.188953,3.88146,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,52.430814,38.231917,5.201986,0.502828,'Hetero Unit III Hyderabad IN',False,1.519792,36.517116,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,'Delayed-release capsules',29.029029,0.066129,0.077621,8.174549,1.550388,'Aurobindo Unit III India',False,0.130634,0.073945,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200/300mg,'Tablet - FDC',29.029029,5.608083,3.546958,4.510865,0.838047,'Mylan (formerly Matrix) Nashik',False,14.244991,3.387196,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,39.203352,7.963496,1.449125,0.041902,'Aurobindo Unit III India',True,1.519792,10.146022,Pediatric
'Direct Drop',DDU,Air,8/11/10,Intelence,100mg,Tablet,119.119119,0.079033,0.70548,62.408965,2.933166,'Janssen-Cilag Latina IT',True,0.011664,1.174038,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,1.066132,2.919612,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',True,0.072316,4.418533,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,253.216946,203.629596,5.737047,0.544731,'Strides Bangalore India.',True,37.579576,161.633223,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Capsule,89.089089,1.014519,1.025657,7.201034,0.460926,'Aurobindo Unit III India',False,1.23053,1.30636,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,29.029029,2.014523,1.890124,6.688267,1.257071,'Mylan (formerly Matrix) Nashik',True,2.08432,2.860501,Adult
'Direct Drop',EXW,Air,6/8/12,Generic,10mg/ml,'Oral solution',239.239239,0.240323,0.052923,1.560596,0.041902,'Aurobindo Unit III India',True,0.06765,0.05708,Pediatric
'Direct Drop',EXW,Air,7/1/14,Uni-Gold,300mg,'Test kit',19.019019,0.054839,0.188172,23.780506,6.704379,'Trinity Biotech Plc',False,0.204116,0.149187,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,29.029029,0.353227,0.139718,2.809072,0.544731,'Hetero Unit III Hyderabad IN',False,11.886572,0.110269,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,1.698393,1.655732,6.948367,0.670438,'Mylan (formerly Matrix) Nashik',False,1.04041,2.04581,Adult
'Direct Drop',EXW,Air,9/14/11,Determine,300mg,'Test kit',99.099099,0.122581,1.15138,66.139532,3.729311,'Alere Medical Co. Ltd.',True,0.04199,1.467223,'HIV test'
'Direct Drop',DDP,Truck,10/9/14,Generic,200mg,Capsule,89.089089,0.074194,0.14411,13.56232,0.838047,'Aurobindo Unit III India',False,1.519792,0.114161,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200mg,Tablet,59.059059,66.356666,17.349897,1.865283,0.167609,'Strides Bangalore India.',True,3.291523,22.104343,Adult
'Direct Drop',EXW,Air,4/10/08,Generic,300mg,Tablet,29.029029,3.25001,4.626782,10.151303,1.927509,'Mylan (formerly Matrix) Nashik',True,0.142298,5.715813,Adult
'Direct Drop',DDP,Truck,8/27/14,Generic,200mg,Capsule,89.089089,0.03871,0.110756,19.596623,1.215169,'Aurobindo Unit III India',True,1.519792,0.106377,Pediatric
'Direct Drop',EXW,Air,5/14/09,Determine,300mg,'Test kit',99.099099,12.0952,100.806614,59.451265,3.352189,'Inverness Japan',True,2.58353,152.560051,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.224194,0.191701,6.056598,0.586633,'Aurobindo Unit III India',False,0.5412,0.237402,Adult
'Direct Drop',EXW,Air,10/21/08,Generic,150mg,Tablet,59.059059,11.233907,2.808875,1.783538,0.167609,'Aurobindo Unit III India',False,1.2177,4.251184,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,0.808067,0.177117,1.560596,0.041902,'Aurobindo Unit III India',False,0.884116,0.168646,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,4.527434,0.872784,1.37481,0.041902,'Aurobindo Unit III India',False,11.238065,0.944419,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Capillus,300mg,'Test kit',99.099099,0.240323,3.50303,103.296573,5.824429,'Trinity Biotech Plc',True,0.151629,4.327724,'HIV test'
'Direct Drop',FCA,Air,2/5/13,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.159678,0.51781,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',True,0.191286,0.494263,Pediatric
'Direct Drop',FCA,Air,12/14/06,Determine,300mg,'Test kit',99.099099,0.320969,2.688176,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden',True,1.519792,31.149964,'HIV test'
'Direct Drop',EXW,Air,8/15/11,Determine,300mg,'Test kit',99.099099,4.661305,43.229068,66.139532,3.729311,'Alere Medical Co. Ltd.',True,1.607271,55.074697,'HIV test'
'Direct Drop',EXW,Air,10/2/08,Generic,300mg,'Test kit - Ancillary',99.099099,8.869383,0.009241,0.007431,0.0,'Inverness Japan',False,1.8942,0.01427,'HIV test - Ancillary'
'Direct Drop',EXW,Air,3/13/08,Uni-Gold,300mg,'Test kit',19.019019,0.135484,0.45699,23.780506,6.704379,'Trinity Biotech Plc',True,0.099142,0.564317,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/200/40mg,'Tablet - FDC',59.059059,1.824199,1.464451,5.722184,0.544731,'Cipla Goa India',False,3.319516,1.809705,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Tablet,59.059059,1.172584,0.295995,1.798401,0.167609,'Aurobindo Unit III India',False,9.299543,0.320428,Adult
'Direct Drop',DDP,Truck,8/24/15,Generic,200mg,Tablet,59.059059,0.027419,0.041546,10.210755,0.963754,'Aurobindo Unit III India',False,1.519792,0.032432,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,1mg/ml,'Oral solution',199.199199,2.41775,0.352823,1.040397,0.041902,'Aurobindo Unit III India',True,0.274099,0.435886,Pediatric
'Direct Drop',DDP,Air,3/13/09,Generic,300mg,Tablet,59.059059,6.487118,7.89461,8.679885,0.796145,'Aurobindo Unit III India',True,1.519792,11.947943,Adult
'Direct Drop',EXW,Air,9/9/13,Generic,300mg,Tablet,59.059059,30.643647,36.391188,8.471805,0.796145,'Aurobindo Unit III India',True,2.226618,34.758006,Adult
'Direct Drop',EXW,Ocean,12/24/14,Generic,600mg,Tablet,29.029029,63.795367,21.930177,2.452365,0.460926,'Aurobindo Unit VII IN',True,4.459068,17.406894,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,5.280662,5.661929,7.646919,0.71234,'Strides Bangalore India.',False,0.850291,6.129645,Adult
'Direct Drop',EXW,Air,11/22/10,Determine,300mg,'Test kit',99.099099,13.846819,128.386296,66.139532,3.729311,'Inverness Japan',True,1.725075,213.729367,'HIV test'
'Direct Drop',FCA,Air,1/15/10,Norvir,100mg,Tablet,59.059059,4.362917,3.114269,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',True,0.403567,5.183928,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.143549,0.113407,5.573556,0.502828,'Aurobindo Unit III India',True,0.004666,0.189403,Adult
'Direct Drop',FCA,Air,12/2/09,Norvir,100mg,Capsule,335.335335,0.032258,0.135343,28.506881,0.460926,'ABBVIE (Abbott) Logis. UK',True,0.06765,0.20497,Adult
'Direct Drop',EXW,Air,6/4/13,Determine,300mg,'Test kit',99.099099,1.054842,11.004722,74.314081,4.190237,'Alere Medical Co. Ltd.',True,0.002333,10.510557,'HIV test'
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,56.450182,54.981607,6.948367,0.670438,'Aurobindo Unit III India',True,3.688092,83.208795,Adult
'Direct Drop',DDP,Truck,8/13/13,Generic,400mg,'Delayed-release capsules',29.029029,0.014516,0.036468,16.133587,3.01697,'Aurobindo Unit III India',False,1.519792,0.035027,Adult
'Direct Drop',FCA,Air,4/25/13,Norvir,100mg,Tablet,59.059059,0.269356,0.193347,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',True,0.026827,0.184214,Adult
'Direct Drop',EXW,Air,11/19/14,Uni-Gold,300mg,'Test kit',19.019019,0.041936,0.145162,23.780506,6.704379,'Trinity Biotech Plc',True,1.519792,0.132322,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,100mg,'Chewable/dispersible tablet',59.059059,1.43065,0.001492,0.007431,0.0,'Aurobindo Unit III India',False,1.519792,0.002595,Pediatric
'Direct Drop',EXW,Air,7/24/08,Generic,150/300/200mg,'Tablet - FDC',59.059059,3.546786,4.213716,8.471805,0.796145,'Aurobindo Unit III India',False,0.386072,6.377425,Adult
'Direct Drop',EXW,Air,7/31/12,Generic,600/300/300mg,'Tablet - FDC',29.029029,330.712357,413.047303,8.910258,1.676095,'Mylan (formerly Matrix) Nashik',True,28.641611,447.139758,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,'Chewable/dispersible tablet',59.059059,4.850016,7.833346,11.518683,1.089462,'Aurobindo Unit III India',False,2.711832,13.040252,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,60/30mg,'Chewable/dispersible tablet - FDC',59.059059,0.690325,0.405792,4.183883,0.377121,'Cipla Patalganga India',True,0.045489,0.321725,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,96.755151,133.745852,9.861479,1.843704,'Mylan (formerly Matrix) Nashik',True,8.446919,144.785456,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.912906,0.623015,4.860141,0.460926,'Hetero Unit III Hyderabad IN',False,43.062726,0.595451,Adult
'Direct Drop',FCA,Air,5/8/13,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.700002,2.252473,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',True,0.548198,2.150889,Pediatric
'Direct Drop',DDP,Ocean,4/1/11,Generic,200mg,Capsule,89.089089,0.48226,0.411795,6.07146,0.377121,'Aurobindo Unit III India',True,0.046655,0.524101,Pediatric
'Direct Drop',DDP,Air,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,0.095162,0.304638,22.457715,4.232139,'Aspen-OSD Port Elizabeth SA',False,1.519792,0.460534,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,24.364595,20.965057,6.138343,0.586633,'Aurobindo Unit III India',True,1.643429,26.709684,Adult
'Direct Drop',EXW,Air,2/6/12,Determine,300mg,'Test kit',99.099099,0.208065,1.747315,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.069983,1.891433,'HIV test'
'Direct Drop',EXW,Ocean,10/31/12,Generic,600/300/300mg,'Tablet - FDC',29.029029,393.225462,470.642896,8.538688,1.59229,'Mylan (formerly Matrix) Nashik',True,32.132585,449.52805,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,0.353227,1.519156,30.543087,1.42468,'ABBVIE Ludwigshafen Germany',True,0.058319,2.298779,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,3.606463,0.917051,1.813264,0.167609,'Aurobindo Unit III India',False,0.987923,1.388089,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Tablet,59.059059,0.040323,0.01127,1.917303,0.167609,'Strides Bangalore India.',False,0.032659,0.011676,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC',Viramune,10mg/ml,'Oral suspension',239.239239,0.062903,0.093683,10.359383,0.251414,'BI Ingelheim Germany',False,1.519792,0.115458,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200mg,Tablet,59.059059,76.04702,21.626295,2.028774,0.209512,'Aurobindo Unit III India',True,6.248294,36.002096,Adult
'Direct Drop',EXW,Ocean,9/28/10,Generic,200mg,Tablet,59.059059,284.031561,71.895781,1.805832,0.167609,'Hetero Unit III Hyderabad IN',True,28.248541,119.686992,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,299.797741,350.38993,8.33804,0.796145,'Aurobindo Unit III India',True,31.212311,446.406796,Adult
'Direct Drop',EXW,Air,4/27/09,Determine,300mg,'Test kit',99.099099,1.288714,9.408617,52.019857,2.933166,'Inverness Japan',True,0.227444,14.238938,'HIV test'
