@relation CorrelationTest

@attribute 'fulfill via' {'From RDC','Direct Drop'}
@attribute 'vendor inco term' {'N/A - From RDC',EXW,CIP,FCA,DDP,DAP,DDU}
@attribute 'shipment mode' {Truck,Air,Ocean,'Air Charter'}
@attribute 'po sent to vendor date' {'N/A - From RDC',11/13/09,2/20/15,2/28/08,9/14/11,8/26/08,10/27/10,5/2/11,10/2/08,6/30/14,2/28/14,5/9/13,3/2/11,8/21/08,9/30/09,9/16/10,10/10/12,3/17/08,8/3/11,12/6/12,8/5/13,2/26/13,2/27/13,12/10/07,11/18/14,9/12/12,2/12/14,6/20/12,4/28/08,2/15/12,8/21/12,8/22/12,4/7/08,7/16/12,5/20/14,6/12/08,7/18/08,8/7/13,3/13/15,3/11/08,2/26/14,12/29/11,7/10/13,5/5/11,5/18/11,1/11/13,10/5/09,10/4/12,7/26/12,3/20/14,8/10/12,8/12/13,5/14/09,6/2/14,8/18/09,7/7/09,3/31/09,6/21/07,2/2/11,10/16/12,4/9/09,5/18/09,12/2/09,6/25/15,8/10/10,7/9/14,9/11/13,4/20/09,8/14/14,1/17/12,5/22/13,10/29/14,3/16/15,8/28/14,2/3/14,12/4/13,11/21/12,8/28/07,2/5/10,4/2/09,8/1/11,1/27/12,3/3/08,10/22/08,8/6/13,1/27/09,3/24/10,1/17/13,5/23/08,3/17/15,9/3/09,11/5/14,7/9/09,10/23/09,1/7/08,6/4/09,7/31/12,1/23/12,1/14/09,10/7/10,8/18/11,10/5/11,5/21/13,8/30/11,4/20/11,10/22/09,7/31/08,6/13/12,11/16/11,2/25/11,3/13/08,10/27/08,9/4/13,6/20/08,6/18/14,4/24/12,6/21/10,8/13/12,11/21/13,5/27/09,5/23/11,1/12/10,5/13/08,1/15/13,12/4/14,7/20/11,9/21/11,11/19/07,11/16/07,6/5/12,5/12/15,6/14/12,4/30/09,1/3/08,10/18/07,5/29/13,4/4/09,4/29/14,2/27/14,4/3/14,8/12/11,7/18/11,4/11/13,6/2/09,3/11/09,4/19/06,4/9/12,11/19/14,8/2/12,9/15/11,8/27/14,8/4/11,12/26/12,3/28/12,2/26/08,8/23/10,5/26/15,1/28/14,9/4/14,2/12/13,3/25/09,7/6/07,8/13/14,2/6/12,6/23/14,4/21/11,4/20/15,8/31/09,11/6/12,11/14/08,10/15/13,8/27/08,6/7/10,8/29/08,2/29/08,7/21/10,12/22/09,2/18/09,12/18/14,7/30/10,9/2/10,5/8/13,8/29/11,10/16/14,7/30/14,3/19/12,9/22/11,1/23/13,6/13/11,5/20/08,11/1/13,1/29/08,9/17/08,10/24/08,11/30/07,2/17/12,12/2/08,9/25/14,7/1/14,4/1/13,5/19/14,12/8/14,6/6/09,7/17/15,12/11/08,12/16/14,5/6/14,8/22/08,4/5/12,1/8/10,11/13/13,12/14/06,3/19/14,6/1/10,7/26/07,2/1/12,1/2/13,9/18/08,11/22/10,1/25/07,3/1/07,4/15/09,9/24/10,8/11/09,7/2/12,9/7/11,5/22/15,3/5/14,10/29/09,7/9/12,12/9/10,2/17/10,3/30/11,10/14/08,5/31/11,7/28/08,8/24/11,5/27/10,9/19/14,2/25/08,10/22/14,1/26/09,10/22/12,1/26/15,8/27/10,1/30/14,5/7/12,4/18/11,2/19/14,1/12/12,1/9/12,10/23/07,4/27/09,2/14/13,9/29/09,12/28/06,3/31/11,5/3/12,5/13/07,3/27/12,9/19/11,11/12/13,1/5/08,1/22/14,10/6/10,9/24/08,1/5/09,12/29/06,12/12/12,8/15/11,7/2/09,8/7/09,1/21/10,8/28/11,2/24/09,11/24/10,3/23/11,6/8/10,9/11/09,6/4/13,3/21/12,2/6/08,2/3/12,2/25/13,12/7/10,10/7/09,5/15/12,6/30/08,9/3/08,10/9/14,6/17/10,8/19/13,8/29/14,11/9/09,12/1/10,6/13/13,8/12/09,1/7/15,6/2/15,2/10/10,3/19/10,2/17/15,12/13/11,6/28/13,2/11/13,3/28/11,12/23/09,3/4/15,12/2/13,3/25/10,11/18/11,8/13/13,4/30/14,8/24/15,9/10/13,5/18/12,11/19/09,12/10/14,7/3/13,6/28/12,5/12/11,5/8/14,9/22/09,6/12/12,11/28/14,2/8/11,7/1/08,3/24/11,4/23/14,10/4/11,11/11/09,1/13/12,10/10/13,5/21/14,11/14/14,8/11/14,3/9/15,10/18/10,12/24/14,12/14/10,7/21/09,7/15/09,7/4/07,11/21/07,10/3/11,4/4/12,1/22/13,3/29/10,11/2/09,4/3/12,10/3/07,5/10/13,2/9/10,5/5/14,4/14/11,1/16/09,8/23/13,5/13/15,5/26/14,10/3/14,10/15/09,10/11/11,8/14/12,6/24/10,10/28/13,1/15/10,3/4/09,9/14/09,4/28/15,5/23/14,3/14/14,9/24/12,4/10/08,7/17/09,11/11/11,3/31/14,6/26/09,11/5/09,3/27/09,2/12/15,2/5/13,9/30/11,3/31/08,3/18/10,3/21/14,7/31/13,3/10/14,3/31/10,10/15/10,6/25/14,11/29/06,5/13/09,6/16/10,11/14/06,4/29/09,6/11/13,4/4/08,11/7/12,4/17/12,1/30/15,9/28/10,1/16/14,8/25/10,8/9/12,3/22/13,3/5/10,5/7/15,2/20/08,10/21/08,5/27/14,1/4/08,12/17/13,12/15/14,12/6/07,1/25/10,5/15/13,11/3/08,7/24/08,1/21/08,7/8/14,1/20/10,5/15/08,8/27/13,5/30/14,9/27/10,1/25/12,4/25/13,4/21/10,8/19/14,10/25/13,12/6/10,3/25/11,8/6/14,4/29/11,11/12/07,9/21/10,2/23/15,7/31/14,7/12/12,7/28/15,2/5/09,4/1/11,8/5/14,11/23/09,9/9/13,9/29/10,9/17/10,10/8/12,7/3/12,5/27/11,5/7/07,10/16/13,10/10/11,6/24/13,1/24/12,12/2/06,3/26/13,10/12/12,12/5/07,7/13/09,1/9/07,11/15/06,2/10/14,11/26/09,8/11/10,11/4/14,7/16/09,5/28/14,3/26/10,4/11/14,10/14/10,6/8/12,10/7/13,9/23/08,7/8/11,5/1/13,7/25/13,11/28/13,6/5/09,7/3/08,2/15/11,8/15/12,3/19/15,7/16/13,10/30/14,2/9/11,3/8/12,2/6/13,11/17/06,5/11/15,11/4/13,7/1/10,11/2/11,3/7/14,4/4/11,10/31/12,3/6/09,12/19/14,9/26/12,9/2/13,4/16/12,2/1/11,11/17/09,6/23/09,1/7/10,5/16/14,8/3/09,11/9/11,4/29/10,11/4/10,3/2/15,10/22/13,10/24/13,7/1/13,8/25/14,10/30/13,11/25/14,12/31/14,1/16/12,2/4/14,4/15/14,5/14/08,2/14/14,11/1/11,11/22/07,2/6/15,11/2/10,10/25/12,3/3/14,6/22/11,6/29/09,12/30/08,7/11/12,2/13/13,4/17/15,1/11/10,6/11/12,1/29/10,11/18/10,12/8/09,7/30/13,9/19/13,3/7/10,4/23/10,3/13/09,12/27/13,4/15/10,3/12/10,3/11/13,9/12/14,7/7/11,4/24/09,8/2/13,1/21/11,6/3/14,5/17/13,5/27/15,4/14/14,3/19/09,2/24/12,6/13/08,9/10/10,3/30/09,5/26/11,8/4/14,2/9/15,7/25/08,11/19/08,5/1/12,7/15/08,6/10/08,12/30/11,6/26/14,7/18/12,2/15/08,3/28/13,5/23/13,3/6/13,11/15/14,1/24/08,7/3/07,8/19/09,6/1/12,5/29/15,11/24/09,1/18/12,5/1/14,7/30/12,5/15/14,11/10/10,6/12/13,9/17/13,1/7/11,2/24/15,5/8/09,1/25/11,7/17/12,7/17/07,11/19/10,5/5/10,10/8/13,11/17/14,11/9/12,2/12/10,8/9/13,6/19/14,11/6/09,8/2/10,7/18/14,3/17/13,3/18/09,6/20/14,8/20/14,2/4/13,8/26/14,1/3/13,3/9/12,7/10/15,12/14/09,5/7/14,2/7/13,12/5/06,8/4/15,3/14/12,11/12/14,3/8/13,7/23/08,7/11/14,2/8/13,3/14/13,5/19/11,11/4/08,7/14/15,10/31/13}
@attribute brand {Generic,Uni-Gold,Determine,Stat-Pak,Bioline,OraQuick,Capillus,Genie,LAV,Multispot,'Colloidal Gold',Clearview,Reveal,'First Response',Hexagon,DoubleCheck,InstantCHEK,Coartem,Aluvia,Truvada,Crixivan,Norvir,Isentress,Zerit,Invirase,Viramune,'Videx EC',Prezista,Intelence,Viread,Retrovir,Trizivir,Combivir,Epivir,Ziagen,Kaletra,Atripla,Viracept,Stocrin/Sustiva,Paramax,Videx,Reyataz}
@attribute dosage {300mg,20/120mg,50+153mg,150mg,200mg,150/300/200mg,200/50mg,300/300mg,600/300mg,300/200mg,150/300mg,250mg,600mg,30mg,400mg,100mg,15mg,600/300/300mg,200/300mg,150/200/30mg,40mg,150/30mg,600/200/300mg,20mg,150/300mg+600mg,300/150/300mg,300/100mg,500mg,150/200/40mg,133.3/33.3mg,150/300+200mg,500/25mg,10mg/ml,50mg,80/20mg/ml,100/25mg,60/12mg,20mg/ml,30mg/ml,30/50/60mg,30/60mg,60/30mg,30/50/6mg,25mg,30/6mg,80mg/ml,1mg/ml,60mg,50mg/g,125mg,60/100/12mg}
@attribute 'dosage form' {'Test kit - Ancillary','Test kit','Tablet - FDC + blister','Tablet - FDC + co-blister',Tablet,'Tablet - FDC','Delayed-release capsules',Capsule,'Delayed-release capsules - blister','Tablet - blister','Oral solution','Chewable/dispersible tablet','Chewable/dispersible tablet - FDC','Oral suspension','Powder for oral solution',Injection,'Oral powder'}
@attribute 'unit of measure (per pack)' numeric
@attribute 'line item quantity' numeric
@attribute 'line item value' numeric
@attribute 'pack price' numeric
@attribute 'unit price' numeric
@attribute 'manufacturing site' {'Inverness Japan','Trinity Biotech Plc','Alere Medical Co. Ltd.','Chembio Diagnostics Sys. Inc.','Standard Diagnostics Korea','Orasure Technologies Inc USA','Bio-Rad Laboratories','KHB Test Kit Facility Shanghai China','ABBVIE GmbH & Co.KG Wiesbaden','Pacific Biotech Thailand','Ranbaxy Fine Chemicals LTD','Not Applicable','Premier Med. Corp Ltd. India','Human Diagnostic','Orasure Technologies Inc','INVERNESS ANY','Inverness USA','EY Laboratories USA','Novartis Pharma Suffern USA','Novartis Pharma AG Switzerland','Ipca Dadra/Nagar Haveli IN','Aurobindo Unit III India','Cipla Goa India','Strides Bangalore India.','Mylan (formerly Matrix) Nashik','ABBVIE Ludwigshafen Germany','Ranbaxy per Shasun Pharma','Aspen-OSD Port Elizabeth SA','Hetero Unit III Hyderabad IN','MSD Haarlem NL','ABBVIE (Abbott) Logis. UK','Macleods Daman Plant INDIA','Aurobindo Unit VII IN','Cipla Kurkumbh India','Ranbaxy Paonta Shahib India','BMS Meymac France','Roche Basel','Boehringer Ing. Koropi GR','Micro labs Verna Goa India','Janssen-Cilag Latina IT','ABBVIE (Abbott) France','Hetero Jadcherla unit 5 IN','Ranbaxy per Shasun Pharma Ltd','Bristol-Myers Squibb Anagni IT','Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India','GSK Ware (UK)','Gilead(Nycomed) Oranienburg DE','GSK U1 Poznan Poland','GSK Aranda','GSK Cape Town Factory (South Africa)','Cipla Patalganga India','Janssen Ortho LLC Puerto Rico','BI Ingelheim Germany','Cipla Ltd A-42 MIDC Mahar. IN','MSD Elkton USA','Mylan  H-12 & H-13 India','ABBVIE (Abbott) St. P burg USA',ABBSP,'Roche Madrid','MSD Midrand J burg SA','Guilin OSD site No 17 China','Micro Labs Hosur India','Meditab (for Cipla) Daman IN','Micro Labs Ltd. (Brown & Burk) India','Weifa A.S. Hausmanngt. 6 P.O. Box 9113 GrÃ¸nland 0133 Oslo Norway','ABBVIE Labs North Chicago US','GSK Mississauga (Canada)','MSD Manati Puerto Rico (USA)','GSK Barnard Castle UK','BMS Evansville US','GSK Crawley','Boehringer Ingelheim Roxane US'}
@attribute 'first line designation' {True,False}
@attribute 'weight (kilograms)' numeric
@attribute 'line item insurance (usd)' numeric
@attribute 'sub classification' {'HIV test - Ancillary','HIV test',ACT,Adult,Malaria,Pediatric}

@data
'Direct Drop',EXW,Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,1.611296,7.476491,33.069766,3.100775,'Aurobindo Unit III India',True,0.106141,31.149964,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',99.099099,6.450021,0.873657,0.966083,0.041902,'Aurobindo Unit III India',False,14.228662,0.694044,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,29.029029,9.443579,4.742266,3.581939,0.670438,'Mylan (formerly Matrix) Nashik',True,0.412898,5.133334,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,322.580073,374.664583,8.28602,1.550388,'Hetero Unit III Hyderabad IN',True,33.81567,357.855805,Adult
'Direct Drop',EXW,Air,5/10/13,Generic,600/300/300mg,'Tablet - FDC',29.029029,135.482695,162.15752,8.538688,1.59229,'Mylan (formerly Matrix) Nashik',True,11.05611,154.882181,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,10.611325,2.575844,1.731518,0.167609,'Hetero Unit III Hyderabad IN',True,0.675334,4.287508,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,1.972587,1.587583,5.737047,0.544731,'Mylan (formerly Matrix) Nashik',True,4.242122,1.718895,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,27.901703,22.729539,5.811361,1.089462,'Mylan (formerly Matrix) Nashik',True,2.374748,28.95787,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,16.191988,31.8811,14.045361,0.670438,'ABBVIE Ludwigshafen Germany',False,18.59442,25.306028,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC',Epivir,150mg,Tablet,59.059059,1.400005,0.995286,5.06822,0.460926,'GSK Ware (UK)',False,1.519792,0.950906,Adult
'Direct Drop',EXW,Air,8/13/12,Determine,300mg,'Test kit',99.099099,4.570982,42.391701,66.139532,3.729311,'Alere Medical Co. Ltd.',True,1.576945,45.891257,'HIV test'
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200/300mg,'Tablet - FDC',29.029029,9.595192,8.967,6.665973,1.257071,'Aurobindo Unit III India',True,0.735985,11.423842,Adult
'Direct Drop',EXW,Air,3/17/15,Determine,300mg,'Test kit',99.099099,0.080645,0.685485,59.451265,3.352189,'Alere Medical Co. Ltd.',False,1.519792,0.622694,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,43.082397,25.940122,4.295354,0.796145,'Aurobindo Unit III India',True,2.73166,43.183835,Adult
'Direct Drop',DDP,Air,3/19/10,Generic,600mg,Tablet,29.029029,92.901913,45.193621,3.470468,0.670438,'Aurobindo Unit III India',True,5.6826,75.235716,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC',Norvir,100mg,Capsule,83.083083,0.004839,0.006532,7.223329,0.502828,'ABBVIE (Abbott) Logis. UK',False,1.519792,0.007784,Adult
'Direct Drop',DDP,Ocean,3/24/11,Generic,200mg,Capsule,89.089089,40.321098,34.316252,6.07146,0.377121,'Aurobindo Unit III India',True,3.864215,43.719611,Pediatric
'Direct Drop',DDP,Truck,7/21/09,Ziagen,300mg,'Tablet - blister',59.059059,0.401614,1.990981,35.224874,3.310287,'GSK Ware (UK)',False,1.519792,3.01358,Adult
'Direct Drop',EXW,Air,4/29/14,Determine,300mg,'Test kit',99.099099,3.408076,28.414024,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.958764,22.554499,'HIV test'
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,300mg,Tablet,59.059059,6.559699,4.27168,4.64463,0.419024,'Aurobindo Unit III India',True,0.31259,3.391088,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200mg,Tablet,59.059059,0.037097,0.012097,2.229422,0.209512,'Aurobindo Unit III India',True,0.024494,0.018162,Adult
'Direct Drop',DDP,Truck,12/2/13,Generic,100/25mg,Tablet,59.059059,0.025807,0.016514,4.295354,0.419024,'ABBVIE Ludwigshafen Germany',False,1.519792,0.015567,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,15.562953,19.47189,8.925121,1.676095,'Aurobindo Unit III India',False,4.911623,24.055451,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,16.933926,6.615434,2.786778,0.251414,'Strides Bangalore India.',True,0.669502,6.319048,Pediatric
'Direct Drop',DDP,Air,3/19/10,Generic,150mg,Tablet,59.059059,3.230656,0.851836,1.880146,0.167609,'Aurobindo Unit III India',True,0.003499,1.417926,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,8.21293,15.811356,13.733242,1.298973,'Cipla Goa India',False,1.519792,15.101629,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,3.627431,5.530503,10.87215,1.005657,'Mylan (formerly Matrix) Nashik',False,11.238065,5.986944,Adult
'Direct Drop',DDP,Truck,8/29/14,Generic,400mg,'Delayed-release capsules',29.029029,0.025807,0.061994,16.133587,3.01697,'Aurobindo Unit III India',False,1.519792,0.059675,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,51.819522,16.41,2.259148,0.209512,'Ranbaxy Paonta Shahib India',False,3.013924,20.273882,Adult
'Direct Drop',EXW,Air,1/27/12,Generic,60/100/12mg,'Chewable/dispersible tablet - FDC',59.059059,112.901977,50.571318,3.195505,0.293317,'Cipla Goa India',True,6.99711,54.745188,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,81.529295,87.05109,7.617193,0.71234,'Aurobindo Unit III India',True,5.458655,31.149964,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,32.714622,32.375388,7.059838,0.670438,'Aurobindo Unit III India',True,2.212622,39.997717,Adult
'Direct Drop',EXW,Air,9/16/10,Stat-Pak,300mg,'Test kit',19.019019,0.353227,0.997985,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.',True,0.134134,1.661815,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,80.643809,69.388553,6.138343,0.586633,'Aurobindo Unit III India',False,8.058515,55.077292,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150mg,Tablet,59.059059,31.451714,7.633972,1.731518,0.167609,'Hetero Unit III Hyderabad IN',True,2.386412,8.263669,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,6.966152,1.415325,1.449125,0.041902,'Aurobindo Unit III India',True,1.8942,1.532087,Pediatric
'Direct Drop',EXW,Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,0.669357,0.433334,4.607473,0.125707,'Aurobindo Unit III India',False,0.587855,31.149964,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,0.320969,0.138441,3.06174,0.586633,'Strides Bangalore India.',False,0.319588,0.150484,Adult
'Direct Drop',DDP,Truck,8/27/14,Generic,200/300mg,'Tablet - FDC',29.029029,0.020968,0.079323,25.058708,4.693065,'Aurobindo Unit III India',False,1.519792,0.075242,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,19.643612,9.617959,3.492762,0.670438,'Aurobindo Unit VII IN',True,1.408986,9.186035,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/200/30mg,'Tablet - FDC',59.059059,76.437343,57.329125,5.350614,0.502828,'Cipla Goa India',True,8.296456,86.762043,Adult
'Direct Drop',EXW,Air,'N/A - From RDC',Stat-Pak,300mg,'Test kit',19.019019,4.024207,11.322599,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.',True,0.818798,31.149964,'HIV test'
'Direct Drop',EXW,Air,6/2/14,Determine,300mg,'Test kit',99.099099,9.522611,88.297353,66.139532,3.729311,'Alere Medical Co. Ltd.',True,2.801643,70.086814,'HIV test'
'Direct Drop',EXW,Air,12/29/11,Determine,300mg,'Test kit',99.099099,4.988726,41.586089,59.451265,3.352189,'Alere Medical Co. Ltd.',True,1.722742,52.982186,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,5.469372,14.959702,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',True,0.347581,22.640119,Adult
'Direct Drop',EXW,Air,5/20/14,Determine,300mg,'Test kit - Ancillary',0,5.543566,2.888109,3.715704,20.951184,'Alere Medical Co. Ltd.',False,1.844046,2.292293,'HIV test - Ancillary'
'Direct Drop',EXW,Air,6/13/12,Uni-Gold,300mg,'Test kit',19.019019,24.192014,80.645291,23.780506,6.704379,'Trinity Biotech Plc',True,5.780576,87.301711,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600mg,Tablet,29.029029,70.598615,28.01942,2.831366,0.544731,'Aurobindo Unit III India',False,4.695843,30.331688,Adult
'Direct Drop',EXW,Air,10/21/08,Generic,200mg,Tablet,59.059059,6.772602,2.046374,2.155108,0.209512,'Aurobindo Unit III India',False,1.2177,3.096606,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600/200/300mg,'Tablet - FDC',29.029029,96.151923,129.807064,9.631105,1.801802,'Cipla Goa India',True,9.006781,140.521299,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200/300mg,'Tablet - FDC',29.029029,153.616625,143.536809,6.665973,1.257071,'Aurobindo Unit III India',True,16.897338,155.384228,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Bioline,300mg,'Test kit',24.024024,4.017755,8.373669,14.862816,3.352189,'Standard Diagnostics Korea',True,0.860788,10.344506,'HIV test'
'Direct Drop',DDP,Truck,11/4/14,Generic,200mg,Capsule,89.089089,0.072581,0.182294,17.530692,1.089462,'Aurobindo Unit III India',False,1.519792,0.145295,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,1.798393,1.753128,6.948367,0.670438,'Aurobindo Unit III India',True,0.118971,2.652936,Adult
'Direct Drop',DDP,Ocean,3/24/11,Generic,600mg,Tablet,29.029029,177.887671,83.570768,3.351565,0.628536,'Aurobindo Unit III India',True,10.934806,106.471608,Adult
'Direct Drop',EXW,Air,'N/A - From RDC',Uni-Gold,300mg,'Test kit',19.019019,0.062903,0.268818,29.725632,8.380473,'Trinity Biotech Plc',True,0.016329,31.149964,'HIV test'
'Direct Drop',EXW,Air,1/22/13,Generic,200mg,Tablet,59.059059,43.542076,10.024104,1.642341,0.167609,'Hetero Unit III Hyderabad IN',True,2.013171,9.573922,Adult
'Direct Drop',EXW,Air,3/24/10,Uni-Gold,300mg,'Test kit',19.019019,0.256452,0.860216,23.780506,6.704379,'Trinity Biotech Plc',True,0.061818,1.432196,'HIV test'
'Direct Drop',EXW,Air,8/12/13,'Colloidal Gold',300mg,'Test kit',0,4.817757,12.299415,18.20695,102.6608,'KHB Test Kit Facility Shanghai China',True,2.323428,11.748162,'HIV test'
'Direct Drop',EXW,Air,7/4/07,Generic,600mg,Tablet,29.029029,36.288827,46.610458,9.162926,1.717997,'Aurobindo Unit III India',True,2.280272,57.583636,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Tablet,59.059059,6.611312,2.204305,2.378051,0.209512,'Aurobindo Unit III India',False,1.698248,3.336602,Adult
'Direct Drop',EXW,Air,12/11/08,Determine,300mg,'Test kit',99.099099,0.341937,2.576617,53.506138,3.01697,'Inverness Japan',True,0.074648,3.899622,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,290.634808,329.084667,8.077941,1.508485,'Aurobindo Unit VII IN',True,16.024886,314.320407,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200mg,Capsule,89.089089,1.966135,1.986193,7.201034,0.460926,'Aurobindo Unit III India',True,0.197118,2.530992,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,24.192014,66.154341,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',True,1.526791,81.728599,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Stocrin/Sustiva,50mg,Capsule,29.029029,0.780648,0.282754,2.578699,0.502828,'MSD Haarlem NL',True,0.332418,0.348968,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600/300mg,'Tablet - FDC',29.029029,31.217843,43.869768,10.02497,1.885607,'Mylan (formerly Matrix) Nashik',True,2.286104,34.821572,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Truvada,300/200mg,'Tablet - FDC',29.029029,0.120968,0.335182,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',True,0.008165,0.413832,Adult
'Direct Drop',FCA,Air,3/30/09,Aluvia,200/50mg,Tablet,119.119119,16.514569,70.709791,30.543087,1.42468,'ABBVIE Ludwigshafen Germany',True,2.942775,107.011276,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,19.27103,17.586258,6.509913,0.628536,'Aurobindo Unit III India',True,1.264355,26.614983,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,52.085652,102.546637,14.045361,0.670438,'ABBVIE Ludwigshafen Germany',True,23.481549,97.945888,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600mg,Tablet,29.029029,7.740348,2.685488,2.474659,0.460926,'Hetero Jadcherla unit 5 IN',True,3.594781,2.564721,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,1mg/ml,'Oral solution',199.199199,0.64355,0.094086,1.040397,0.041902,'Aurobindo Unit III India',True,0.045489,0.142701,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,109.045513,109.274131,7.149015,0.670438,'Aurobindo Unit III India',False,21.030986,118.293714,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,13.740367,3.335288,1.731518,0.167609,'Strides Bangalore India.',False,2.05866,5.552356,Adult
'Direct Drop',EXW,Air,3/31/08,Generic,300mg,Tablet,59.059059,0.804841,2.100138,18.57852,1.759899,'Aurobindo Unit III India',True,0.144631,2.594559,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,2.766138,0.562198,1.449125,0.041902,'Aurobindo Unit III India',False,18.702893,0.537074,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,2.488718,10.661711,30.543087,1.42468,'ABBVIE (Abbott) Logis. UK',True,1.519792,16.135561,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,25.524276,50.254013,14.045361,0.670438,'ABBVIE Ludwigshafen Germany',True,4.448571,47.999336,Adult
'Direct Drop',EXW,Air,8/23/10,Bioline,300mg,'Test kit',24.024024,0.024194,0.053764,14.862816,3.352189,'Standard Diagnostics Korea',True,0.162127,0.089512,'HIV test'
