'project code','pq #',country,'managed by','fulfill via','vendor inco term','shipment mode','pq first sent to client date','po sent to vendor date','scheduled delivery date','delivered to client date','delivery recorded date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','first line designation','weight (kilograms)','freight cost (usd)','line item insurance (usd)','sub classification'
108-VN-T30,FPQ-10286,Vietnam,'PMO - US','Direct Drop',EXW,Air,7/25/12,8/15/12,12-Nov-12,12-Nov-12,12-Nov-12,Zidovudine,Generic,300mg,Tablet,59.059059,0.845164,0.582158,4.904729,0.460926,'Cipla Goa India',True,0.039657,2.785131,0.630478,Adult
109-TZ-T01,'Pre-PQ Process',Tanzania,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',4/12/07,6-Jun-07,6-Jun-07,6-Jun-07,Didanosine,Videx,2g,'Powder for oral solution',199.199199,1.146778,1.506064,9.356143,0.251414,'BMS Meymac France',True,0.188953,3.149326,31.149964,Pediatric
102-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',5/13/07,19-Jun-07,19-Jun-07,19-Jun-07,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,1.611296,13.440882,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden',True,0.397735,9.258406,16.605176,'HIV test'
102-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',5/17/07,19-Jun-07,19-Jun-07,19-Jun-07,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,12.0952,34.022232,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.',True,2.657012,54.869068,31.149964,'HIV test'
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',7/13/07,2-Oct-07,2-Oct-07,2-Oct-07,Didanosine,Videx,200mg,Tablet,59.059059,8.890351,23.619242,18.950091,1.759899,'BMS Meymac France',True,2.479722,23.33324,29.179704,Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/4/07,15-Oct-07,15-Oct-07,15-Oct-07,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,1.611296,0.322581,1.42683,0.041902,'Aurobindo Unit III India',True,1.097563,14.475072,0.398265,Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',FCA,Air,'Pre-PQ Process',7/4/07,27-Aug-07,27-Aug-07,27-Aug-07,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,0.804841,6.904413,61.078743,2.849361,'ABBVIE Ludwigshafen Germany',True,0.136466,6.099137,8.529612,Adult
100-HT-T01,'Pre-PQ Process',Haiti,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/26/07,13-Aug-07,21-Aug-07,21-Aug-07,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,1.208068,9.071335,53.498707,3.01697,'Inverness Japan',True,0.199451,12.144313,11.207196,'HIV test'
100-HT-T01,'Pre-PQ Process',Haiti,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/26/07,25-Aug-07,25-Aug-07,25-Aug-07,'HIV 1/2 OraQuick Advance HIV Rapid Antibody Kit',OraQuick,300mg,'Test kit',99.099099,0.03871,1.470096,260.099284,14.665829,'Pacific Biotech Thailand',True,0.069983,10.69247,1.816191,'HIV test'
109-TZ-T01,'Pre-PQ Process',Tanzania,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',16-Oct-07,16-Oct-07,16-Oct-07,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,16.127471,33.602205,14.862816,3.352189,'Standard Diagnostics Korea',True,3.889875,96.215275,41.512939,'HIV test'
109-TZ-T01,'Pre-PQ Process',Tanzania,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',22-Nov-07,22-Nov-07,22-Nov-07,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,16.127471,33.602205,14.862816,3.352189,'Standard Diagnostics Korea',True,3.889875,98.256894,41.512939,'HIV test'
109-TZ-T01,'Pre-PQ Process',Tanzania,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',22-Nov-07,22-Nov-07,22-Nov-07,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,16.127471,33.602205,14.862816,3.352189,'Standard Diagnostics Korea',True,3.889875,97.907164,41.512939,'HIV test'
117-ET-T01,'Pre-PQ Process',Ethiopia,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',10/3/07,20-Nov-07,20-Nov-07,20-Nov-07,Stavudine,Generic,30mg,Capsule,59.059059,103.224527,16.666694,1.151868,0.125707,'Aurobindo Unit III India',True,4.931452,42.246699,20.590418,Adult
102-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',8/28/07,3-Oct-07,3-Oct-07,3-Oct-07,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,16.127471,45.362976,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.',True,3.805896,72.103757,56.042468,'HIV test'
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Air,'Pre-PQ Process',11/12/07,29-Jan-08,29-Jan-08,29-Jan-08,Zidovudine,Retrovir,10mg/ml,'Oral solution',199.199199,0.062903,0.05336,5.900538,0.167609,'GSK Mississauga (Canada)',True,1.519792,23.33324,0.066161,Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',11/19/07,21-Jan-08,21-Jan-08,21-Jan-08,'Tenofovir Disoproxil Fumarate',Viread,300mg,Tablet,29.029029,1.611296,2.856187,12.633394,2.388435,'Gilead(Nycomed) Oranienburg DE',True,0.088645,7.877786,3.5286,Adult
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',11/21/07,21-Jan-08,21-Jan-08,21-Jan-08,Zidovudine,Generic,300mg,Tablet,59.059059,0.64355,0.563173,6.22752,0.586633,'Ranbaxy Paonta Shahib India',True,0.026827,7.41682,0.695342,Adult
107-RW-T01,'Pre-PQ Process',Rwanda,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',12/10/07,31-Jan-08,31-Jan-08,31-Jan-08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,2.41775,0.00252,0.007431,0,'Inverness Japan',True,0.115472,0,0.002595,'HIV test - Ancillary'
123-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',5-Feb-08,5-Feb-08,5-Feb-08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,1.046778,0.001092,0.007431,0,'Inverness Japan',True,1.519792,23.33324,0.001297,'HIV test - Ancillary'
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Air,'Pre-PQ Process',1/4/08,21-Jan-08,4-Jan-08,4-Jan-08,Stavudine,Zerit,1mg/ml,'Powder for oral solution',199.199199,0.320969,0.057124,1.263339,0.041902,'BMS Meymac France',True,1.519792,23.33324,0.070053,Pediatric
125-HT-T01,'Pre-PQ Process',Haiti,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',18-Feb-08,18-Feb-08,18-Feb-08,'HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,0.001613,0.046707,103.296573,5.824429,'Trinity Biotech Plc',True,1.519792,23.33324,0.05708,'HIV test'
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',2/27/08,17-Jun-08,17-Jun-08,17-Jun-08,'HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,0.766132,6.077967,56.478702,7.96145,'Bio-Rad Laboratories',True,0.593687,18.801015,7.508653,'HIV test'
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',3/3/08,19-Mar-09,19-Mar-09,19-Mar-09,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,1.061294,2.214385,14.862816,3.352189,'Standard Diagnostics Korea',True,0.240274,9.167435,3.350873,'HIV test'
102-GY-T01,'Pre-PQ Process',Guyana,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',2/28/08,9-Apr-08,1-Apr-08,1-Apr-08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.385485,0.000403,0.007431,0,'Inverness Japan',True,1.519792,23.33324,0,'HIV test - Ancillary'
102-GY-T01,'Pre-PQ Process',Guyana,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',2/28/08,28-Jul-08,28-Jul-08,28-Jul-08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.341937,0.000358,0.007431,0,'Inverness Japan',True,0.016329,1.24028,0,'HIV test - Ancillary'
117-ET-T01,'Pre-PQ Process',Ethiopia,'PMO - US','Direct Drop',DDP,Air,'Pre-PQ Process',2/29/08,11-Mar-08,11-Mar-08,11-Mar-08,'HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,0.1,2.251222,158.058619,8.925204,'Trinity Biotech Plc',True,1.519792,23.33324,2.781367,'HIV test'
113-ZW-T01,'Pre-PQ Process',Zimbabwe,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',3/17/08,17-Nov-08,17-Nov-08,17-Nov-08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,2.633879,19.763416,53.498707,3.01697,'Inverness Japan',True,0.435059,14.195323,24.416095,'HIV test'
123-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',3/13/08,17-Apr-08,17-Apr-08,17-Apr-08,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,2.296782,6.464224,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.',True,0.563361,18.878245,7.986052,'HIV test'
119-NA-T01,'Pre-PQ Process',Namibia,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',3/18/08,4-Jun-08,4-Jun-08,4-Jun-08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,0.22742,1.717506,53.498707,3.01697,'Inverness Japan',True,0.038491,5.918887,2.122349,'HIV test'
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',3/31/08,3-Jun-08,3-Jun-08,3-Jun-08,Efavirenz,Generic,600mg,Tablet,29.029029,13.546818,16.201639,8.531257,1.59229,'Mylan (formerly Matrix) Nashik',True,0.762812,13.984311,20.015723,Adult
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Truck,'Pre-PQ Process',2/20/08,24-Apr-08,24-Apr-08,24-Apr-08,Saquinavir,Invirase,200mg,Capsule,269.269269,0.008065,0.068055,50.169436,1.047559,'Roche Basel',True,1.519792,23.33324,0.084323,Adult
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Truck,'Pre-PQ Process',2/20/08,24-Apr-08,24-Apr-08,24-Apr-08,Stavudine,Zerit,1mg/ml,'Powder for oral solution',199.199199,0.966132,0.14617,1.077554,0.041902,'BMS Meymac France',False,1.519792,23.33324,0.180322,Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',3/31/08,12-Jul-08,12-Jul-08,12-Jul-08,Didanosine,Videx,25mg,'Chewable/dispersible tablet',59.059059,0.64355,0.470431,5.201986,0.502828,'BMS Meymac France',True,0.094477,7.630869,0.581181,Pediatric
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Air,'Pre-PQ Process',4/4/08,25-Apr-08,7-Apr-08,7-Apr-08,Didanosine,Videx,25mg,'Chewable/dispersible tablet',59.059059,0.008065,0.012954,9.549359,0.87995,'BMS Meymac France',True,1.519792,23.33324,0.015567,Pediatric
102-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',9-Jul-08,9-Jul-08,9-Jul-08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,8.866158,73.888731,59.443833,3.352189,'Inverness Japan',True,1.459141,55.547502,91.284358,'HIV test'
102-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',9-Jul-08,4-Jul-08,4-Jul-08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,8.866158,0.009237,0.007431,0,'Inverness Japan',True,1.519792,23.33324,0.011676,'HIV test - Ancillary'
117-ET-T01,'Pre-PQ Process',Ethiopia,'PMO - US','Direct Drop',DDP,Air,'Pre-PQ Process','N/A - From RDC',9-May-08,9-May-08,9-May-08,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.022581,0.116166,34.25136,9.637545,'Trinity Biotech Plc',True,1.519792,23.33324,0.143998,'HIV test'
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',5/14/08,19-Sep-08,19-Sep-08,19-Sep-08,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,2.166136,3.084521,10.151303,1.927509,'Mylan (formerly Matrix) Nashik',True,1.792725,46.632335,3.810109,Adult
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Truck,'Pre-PQ Process','N/A - From RDC',20-Aug-08,20-Aug-08,20-Aug-08,Stavudine,Zerit,20mg,Capsule,59.059059,0.030645,0.017372,3.842038,0.377121,'BMS Meymac France',True,1.519792,23.33324,0.025946,Adult
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Truck,'Pre-PQ Process','N/A - From RDC',20-Aug-08,8-May-08,8-May-08,'Didanosine EC','Videx EC',250mg,'Delayed-release capsules - blister',29.029029,0.159678,0.320229,14.164264,2.681752,'BMS Meymac France',True,1.519792,23.33324,0.39567,Adult
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Truck,'Pre-PQ Process','N/A - From RDC',20-Aug-08,8-May-08,8-May-08,Stavudine,Zerit,1mg/ml,'Powder for oral solution',199.199199,1.079036,0.172228,1.137005,0.041902,'BMS Meymac France',False,1.519792,23.33324,0.212754,Pediatric
109-TZ-T01,'Pre-PQ Process',Tanzania,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',5/15/08,2-Sep-08,2-Sep-08,2-Sep-08,'Didanosine EC','Videx EC',400mg,'Delayed-release capsules - blister',29.029029,4.18711,10.327804,17.590143,3.310287,'BMS Meymac France',True,0.136466,2.224563,12.758742,Adult
106-HT-T01,'Pre-PQ Process',Haiti,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',5/20/08,30-Sep-08,30-Sep-08,30-Sep-08,'HIV 1/2 OraQuick Advance HIV Rapid Antibody Kit',OraQuick,300mg,'Test kit',99.099099,0.043549,1.646508,260.099284,14.665829,'Pacific Biotech Thailand',True,0.127135,2.697647,2.034134,'HIV test'
106-HT-T01,'Pre-PQ Process',Haiti,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',5/23/08,24-Nov-08,24-Nov-08,24-Nov-08,'HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,0.133871,1.961697,103.296573,5.824429,'Trinity Biotech Plc',True,0.062984,3.006431,2.968175,'HIV test'
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Truck,'Pre-PQ Process','N/A - From RDC',12-Jun-08,9-Jun-08,9-Jun-08,Abacavir,Ziagen,300mg,'Tablet - blister',59.059059,0.046774,0.176311,25.995066,2.430337,'GSK Ware (UK)',True,1.519792,23.33324,0.217943,Adult
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/1/08,19-Sep-08,19-Sep-08,19-Sep-08,Lamivudine,Generic,150mg,Tablet,59.059059,62.321169,15.58067,1.783538,0.167609,'Aurobindo Unit III India',True,3.171385,64.263119,19.249031,Adult
112-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/2/08,25-Feb-09,9-Sep-08,9-Sep-08,Artemether/Lumefantrine,Coartem,20/120mg,'Tablet - FDC + blister',539.53954,0.053226,0.260027,33.82777,0.335219,'Novartis Pharma AG Switzerland',True,0.134134,6.0594,0.321725,ACT
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/3/08,8-Oct-08,8-Oct-08,8-Oct-08,Stavudine,Generic,30mg,Capsule,59.059059,67.740541,10.231871,1.077554,0.083805,'Aurobindo Unit III India',True,3.032586,35.140079,12.64069,Adult
116-ZA-T01,'Pre-PQ Process','South Africa','PMO - US','Direct Drop',DDP,Truck,'Pre-PQ Process','N/A - From RDC',10-Jul-08,8-Jul-08,8-Jul-08,Nevirapine,Viramune,10mg/ml,'Oral suspension',239.239239,0.079033,0.11702,10.351951,0.251414,'BI Ingelheim Germany',True,1.519792,23.33324,0.143998,Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/24/08,27-Nov-08,27-Nov-08,27-Nov-08,Efavirenz,Generic,600mg,Tablet,29.029029,27.095249,28.762143,7.572605,1.42468,'Mylan (formerly Matrix) Nashik',True,1.427648,16.178458,43.528911,Adult
102-GY-T01,'Pre-PQ Process',Guyana,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',7/25/08,15-Aug-08,15-Aug-08,15-Aug-08,'Malaria Paramax-3 Kit',Paramax,300mg,'Test kit',24.024024,0.156452,0.617441,27.86778,6.285355,'Not Applicable',True,0.039657,0.618845,0.7628,Malaria
110-ZM-T01,'Pre-PQ Process',Zambia,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',7/31/08,20-Oct-08,20-Oct-08,20-Oct-08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,7.256475,54.428011,53.498707,3.01697,'Inverness Japan',True,1.228197,38.18818,82.370752,'HIV test'
119-NA-T01,'Pre-PQ Process',Namibia,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',8/26/08,18-Sep-08,18-Sep-08,18-Sep-08,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.014516,0.053764,23.780506,6.704379,'Trinity Biotech Plc',True,1.519792,23.33324,0.066161,'HIV test'
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',8/27/08,2-Oct-08,2-Oct-08,2-Oct-08,'HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,0.804841,6.384419,56.478702,7.96145,'Bio-Rad Laboratories',True,0.655505,39.003226,7.887458,'HIV test'
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',9/3/08,23-Jan-09,23-Jan-09,23-Jan-09,Artesunate+Amodiaquine,Generic,50+153mg,'Tablet - FDC + co-blister',11.011011,40.321098,1.638107,0.289825,0.125707,'Ipca Dadra/Nagar Haveli IN',True,1.992176,44.295016,2.479101,ACT
131-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',3/6/09,10-Mar-09,8-Apr-09,8-Apr-09,'Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Atripla,600/200/300mg,'Tablet - FDC',29.029029,0.012903,0.07621,37.454297,7.039598,'MSD Haarlem NL',True,1.519792,23.33324,0.115458,Adult
