'project code','pq #',country,'pq first sent to client date','molecule/test type',brand,dosage,'dosage form','manufacturing site','sub classification'
101-CD-T30,FPQ-8840,'Congo DRC',11/21/11,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC','Aurobindo Unit III India',Adult
114-UG-T30,FPQ-13693,Uganda,2/7/14,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,'ABBVIE Ludwigshafen Germany',Adult
116-ZA-T30,FPQ-14942,'South Africa',9/11/14,Abacavir,Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
161-ZA-T30,FPQ-5648,'South Africa',6/2/10,Lamivudine,Generic,150mg,Tablet,'Strides Bangalore India.',Adult
103-ZW-T30,FPQ-12086,Zimbabwe,4/19/13,Abacavir,Generic,20mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','Pre-PQ Process','HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit','Bio-Rad Laboratories','HIV test'
109-TZ-T30,FPQ-8303,Tanzania,8/22/11,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC','Mylan (formerly Matrix) Nashik',Pediatric
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','Pre-PQ Process','HIV 2 New LAV Blot 2 HIV Kit',LAV,300mg,'Test kit','Bio-Rad Laboratories','HIV test'
116-ZA-T01,'Pre-PQ Process','South Africa','Pre-PQ Process',Lopinavir/Ritonavir,Kaletra,133.3/33.3mg,Capsule,'ABBVIE (Abbott) Logis. UK',Adult
106-HT-T30,FPQ-5523,Haiti,4/19/10,Stavudine,Generic,30mg,Capsule,'Strides Bangalore India.',Adult
110-ZM-T30,FPQ-13221,Zambia,10/31/13,'Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC','Hetero Unit III Hyderabad IN',Adult
101-CD-T30,FPQ-14654,'Congo DRC',8/11/14,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
101-CD-T30,FPQ-14569,'Congo DRC',7/23/14,Sulfadoxine/Pyrimethamine,Generic,500/25mg,'Tablet - FDC','Guilin OSD site No 17 China',Malaria
102-SZ-T30,FPQ-10537,Swaziland,8/23/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary','Alere Medical Co. Ltd.','HIV test - Ancillary'
102-SD-T30,FPQ-6991,Sudan,2/5/11,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
110-ZM-T30,FPQ-11553,Zambia,1/28/13,Nevirapine,Generic,200mg,Tablet,'Cipla Goa India',Adult
133-NG-T30,FPQ-14305,Nigeria,5/16/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Alere Medical Co. Ltd.','HIV test'
108-VN-T30,FPQ-13976,Vietnam,4/8/14,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
101-CD-T30,FPQ-13554,'Congo DRC',1/15/14,Abacavir,Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
102-KE-T30,FPQ-4250,Kenya,9/16/09,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit','Standard Diagnostics Korea','HIV test'
106-HT-T30,FPQ-6194,Haiti,8/7/10,'HIV 1/2 Colloidal Gold Diagnostic Kit Antibody','Colloidal Gold',300mg,'Test kit','KHB Test Kit Facility Shanghai China','HIV test'
113-ZW-T01,'Pre-PQ Process',Zimbabwe,'Pre-PQ Process',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC','Cipla Goa India',Adult
105-SS-T30,FPQ-12623,'South Sudan',7/18/13,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
123-NG-T01,'Pre-PQ Process',Nigeria,'Pre-PQ Process',Efavirenz,Generic,600mg,Tablet,'Aurobindo Unit III India',Adult
113-ZW-T30,FPQ-11422,Zimbabwe,1/4/13,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,'Aurobindo Unit III India',Adult
106-HT-T01,'Pre-PQ Process',Haiti,'Pre-PQ Process',Efavirenz,Generic,50mg,Capsule,'Aurobindo Unit III India',Pediatric
102-ML-T30,FPQ-11783,Mali,3/15/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Alere Medical Co. Ltd.','HIV test'
119-NA-T01,'Pre-PQ Process',Namibia,'Pre-PQ Process','HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit','Chembio Diagnostics Sys. Inc.','HIV test'
101-CD-T30,FPQ-8840,'Congo DRC',11/21/11,'Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
110-ZM-T01,'Pre-PQ Process',Zambia,'Pre-PQ Process','HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit','Inverness Japan','HIV test'
104-CI-T30,FPQ-11254,'Cote d Ivoire',12/14/12,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,'Mylan (formerly Matrix) Nashik',Adult
109-TZ-T01,'Pre-PQ Process',Tanzania,'Pre-PQ Process','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC','Aspen-OSD Port Elizabeth SA',Adult
107-RW-T30,FPQ-12901,Rwanda,8/30/13,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC','Hetero Unit III Hyderabad IN',Adult
161-ZA-T30,FPQ-7175,'South Africa',3/10/11,Nevirapine,Generic,10mg/ml,'Oral suspension','Aurobindo Unit III India',Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC','Cipla Goa India',Adult
106-HT-T30,FPQ-4384,Haiti,10/23/09,Abacavir,Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
161-ZA-T30,FPQ-6708,'South Africa',11/26/10,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
114-UG-T30,FPQ-12473,Uganda,6/11/13,Efavirenz,Generic,600mg,Tablet,'Aurobindo Unit III India',Adult
116-ZA-T30,FPQ-12522,'South Africa',7/11/13,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC','Aurobindo Unit III India',Adult
114-UG-T30,FPQ-3891,Uganda,7/22/09,Indinavir,Crixivan,400mg,Capsule,'MSD Haarlem NL',Adult
161-ZA-T30,FPQ-6708,'South Africa',11/26/10,Abacavir,Ziagen,20mg/ml,'Oral solution','GSK Mississauga (Canada)',Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,'ABBVIE Ludwigshafen Germany',Adult
101-CD-T30,FPQ-11096,'Congo DRC',11/20/12,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC','Mylan (formerly Matrix) Nashik',Pediatric
106-HT-T30,FPQ-5523,Haiti,4/19/10,Stavudine,Generic,20mg,Capsule,'Aurobindo Unit III India',Adult
110-ZM-T30,FPQ-7667,Zambia,7/26/11,Nevirapine,Generic,10mg/ml,'Oral suspension','Aurobindo Unit III India',Pediatric
111-MZ-T30,FPQ-12416,Mozambique,6/28/13,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC','Strides Bangalore India.',Adult
117-ET-T01,'Pre-PQ Process',Ethiopia,'Pre-PQ Process','HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit','Chembio Diagnostics Sys. Inc.','HIV test'
107-RW-T30,FPQ-14111,Rwanda,4/22/14,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
101-CD-T30,FPQ-8840,'Congo DRC',11/21/11,Lamivudine,Generic,150mg,Tablet,'Hetero Unit III Hyderabad IN',Adult
131-NG-T01,'Pre-PQ Process',Nigeria,'Pre-PQ Process','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC','Aspen-OSD Port Elizabeth SA',Adult
112-NG-T01,'Pre-PQ Process',Nigeria,'Pre-PQ Process',Lamivudine,Generic,10mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
104-CI-T30,FPQ-12144,'Cote d Ivoire',4/22/13,Abacavir/Lamivudine,Generic,600/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
111-MZ-T30,FPQ-11033,Mozambique,11/12/12,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC','Hetero Unit III Hyderabad IN',Adult
101-CD-T30,FPQ-11096,'Congo DRC',11/20/12,Didanosine,Generic,200mg,'Delayed-release capsules','Aurobindo Unit III India',Pediatric
109-TZ-T30,FPQ-12015,Tanzania,4/2/13,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
109-TZ-T30,FPQ-8303,Tanzania,8/22/11,Nevirapine,Generic,10mg/ml,'Oral suspension','Aurobindo Unit III India',Pediatric
114-UG-T30,FPQ-5837,Uganda,6/25/10,Etravirine,Intelence,100mg,Tablet,'Janssen-Cilag Latina IT',Adult
151-NG-T01,'Pre-PQ Process',Nigeria,'Pre-PQ Process','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC','Aspen-OSD Port Elizabeth SA',Adult
151-NG-T30,FPQ-14766,Nigeria,8/13/14,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC','Strides Bangalore India.',Adult
106-HT-T30,FPQ-6801,Haiti,12/14/10,Efavirenz,Generic,200mg,Capsule,'Aurobindo Unit III India',Pediatric
100-SZ-T01,'Pre-PQ Process',Swaziland,'Pre-PQ Process','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,'Mylan (formerly Matrix) Nashik',Adult
108-VN-T30,FPQ-9576,Vietnam,4/11/12,Zidovudine,Generic,10mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
105-SS-T30,FPQ-14470,'South Sudan',6/17/14,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
111-MZ-T30,FPQ-14226,Mozambique,5/2/14,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,'Hetero Unit III Hyderabad IN',Adult
112-NG-T01,'Pre-PQ Process',Nigeria,'Pre-PQ Process',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
102-SD-T30,FPQ-8261,Sudan,8/29/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Alere Medical Co. Ltd.','HIV test'
116-ZA-T30,FPQ-14942,'South Africa',9/11/14,Efavirenz,Generic,200mg,Capsule,'Aurobindo Unit III India',Pediatric
151-NG-T30,FPQ-6800,Nigeria,12/7/10,Nevirapine,Generic,200mg,Tablet,'Strides Bangalore India.',Adult
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,'Mylan (formerly Matrix) Nashik',Adult
116-ZA-T30,FPQ-12522,'South Africa',7/11/13,Efavirenz,Generic,200mg,Capsule,'Aurobindo Unit III India',Pediatric
102-KE-T01,'Pre-PQ Process',Kenya,'Pre-PQ Process','HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Inverness Japan','HIV test'
114-UG-T01,'Pre-PQ Process',Uganda,'Pre-PQ Process',Zidovudine,Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process',Lamivudine,Generic,150mg,Tablet,'Aurobindo Unit III India',Adult
101-CD-T30,FPQ-12088,'Congo DRC',4/12/13,Zidovudine,Generic,10mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
106-HT-T30,FPQ-9056,Haiti,12/20/11,Lamivudine,Generic,10mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
107-RW-T01,'Pre-PQ Process',Rwanda,'Pre-PQ Process','HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit','Trinity Biotech Plc','HIV test'
106-HT-T30,FPQ-11286,Haiti,1/16/13,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution','ABBVIE (Abbott) Logis. UK',Pediatric
117-ET-T01,'Pre-PQ Process',Ethiopia,'Pre-PQ Process','HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','ABBVIE GmbH & Co.KG Wiesbaden','HIV test'
133-NG-T30,FPQ-8117,Nigeria,7/28/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Alere Medical Co. Ltd.','HIV test'
110-ZM-T01,'Pre-PQ Process',Zambia,'Pre-PQ Process','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary','Inverness Japan','HIV test - Ancillary'
114-UG-T01,'Pre-PQ Process',Uganda,'Pre-PQ Process','HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
112-NG-T01,'Pre-PQ Process',Nigeria,'Pre-PQ Process',Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,'Tablet - FDC','Cipla Goa India',Adult
151-NG-T30,FPQ-9968,Nigeria,5/23/12,Nevirapine,Generic,200mg,Tablet,'Aurobindo Unit III India',Adult
116-ZA-T30,FPQ-14942,'South Africa',9/11/14,Nevirapine,Generic,200mg,Tablet,'Aurobindo Unit III India',Adult
106-HT-T01,'Pre-PQ Process',Haiti,'Pre-PQ Process',Stavudine,Generic,1mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
116-ZA-T01,'Pre-PQ Process','South Africa','Pre-PQ Process',Zidovudine,Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
109-TZ-T30,FPQ-12868,Tanzania,8/23/13,Abacavir,Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
106-HT-T30,FPQ-15038,Haiti,10/22/14,Efavirenz,Generic,600mg,Tablet,'Aurobindo Unit VII IN',Adult
114-UG-T30,FPQ-9321,Uganda,2/10/12,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC','Strides Bangalore India.',Adult
102-KE-T30,FPQ-6406,Kenya,9/27/10,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Inverness Japan','HIV test'
104-CI-T30,FPQ-4698,'Cote d Ivoire',12/28/09,Ritonavir,Norvir,100mg,Tablet,'ABBVIE Ludwigshafen Germany',Adult
114-UG-T30,FPQ-5275,Uganda,3/4/10,Zidovudine,Generic,300mg,Tablet,'Aurobindo Unit III India',Adult
114-UG-T30,FPQ-4373,Uganda,11/25/09,Ritonavir,Norvir,100mg,Capsule,'ABBVIE (Abbott) Logis. UK',Adult
105-GY-T30,FPQ-12235,Guyana,5/6/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Alere Medical Co. Ltd.','HIV test'
123-NG-T01,'Pre-PQ Process',Nigeria,'Pre-PQ Process',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC','Aurobindo Unit III India',Adult
116-ZA-T30,FPQ-12522,'South Africa',7/11/13,Didanosine,Generic,400mg,'Delayed-release capsules','Aurobindo Unit III India',Adult
111-MZ-T30,FPQ-11923,Mozambique,4/19/13,Ritonavir,Norvir,100mg,Tablet,'ABBVIE Ludwigshafen Germany',Adult
111-MZ-T30,FPQ-15323,Mozambique,11/12/14,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
100-GH-T01,'Pre-PQ Process',Ghana,'Pre-PQ Process',Didanosine,Generic,100mg,'Chewable/dispersible tablet','Aurobindo Unit III India',Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC','Aurobindo Unit III India',Adult
103-UG-T30,FPQ-10289,Uganda,7/11/12,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
104-CI-T30,FPQ-6144,'Cote d Ivoire',8/3/10,Didanosine,Generic,200mg,'Chewable/dispersible tablet','Aurobindo Unit III India',Pediatric
117-ET-T30,FPQ-14544,Ethiopia,6/30/14,Abacavir/Lamivudine,Generic,60/30mg,'Chewable/dispersible tablet - FDC','Cipla Patalganga India',Pediatric
107-RW-T30,FPQ-9969,Rwanda,5/25/12,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
111-MZ-T30,FPQ-11882,Mozambique,3/19/13,Zidovudine,Generic,300mg,Tablet,'Hetero Unit III Hyderabad IN',Adult
109-TZ-T30,FPQ-12050,Tanzania,4/12/13,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution','ABBVIE (Abbott) Logis. UK',Pediatric
116-ZA-T30,FPQ-7176,'South Africa',3/10/11,Efavirenz,Generic,200mg,Capsule,'Aurobindo Unit III India',Pediatric
116-ZA-T01,'Pre-PQ Process','South Africa','Pre-PQ Process','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC','Aspen-OSD Port Elizabeth SA',Adult
114-UG-T30,FPQ-7162,Uganda,2/14/11,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC','Aurobindo Unit III India',Adult
102-SZ-T30,FPQ-9212,Swaziland,1/19/12,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit','Alere Medical Co. Ltd.','HIV test'
103-MW-T30,FPQ-10790,Malawi,10/17/12,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
114-UG-T01,'Pre-PQ Process',Uganda,'Pre-PQ Process',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,'ABBVIE Ludwigshafen Germany',Adult
114-UG-T01,'Pre-PQ Process',Uganda,'Pre-PQ Process',Lamivudine,Generic,150mg,Tablet,'Aurobindo Unit III India',Adult
101-CD-T30,FPQ-8840,'Congo DRC',11/21/11,Nevirapine,Generic,200mg,Tablet,'Strides Bangalore India.',Adult
116-ZA-T01,'Pre-PQ Process','South Africa','Pre-PQ Process',Nevirapine,Viramune,10mg/ml,'Oral suspension','BI Ingelheim Germany',Pediatric
151-NG-T30,FPQ-5023,Nigeria,2/10/10,Nevirapine,Generic,200mg,Tablet,'Aurobindo Unit III India',Adult
107-RW-T30,FPQ-6341,Rwanda,9/3/10,Nevirapine,Generic,200mg,Tablet,'Hetero Unit III Hyderabad IN',Adult
111-MZ-T30,FPQ-8157,Mozambique,8/4/11,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC','Aurobindo Unit III India',Adult
119-NA-T01,'Pre-PQ Process',Namibia,'Pre-PQ Process','HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit','Inverness Japan','HIV test'
104-CI-T30,FPQ-8295,'Cote d Ivoire',8/25/11,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,'Mylan (formerly Matrix) Nashik',Adult
110-ZM-T30,FPQ-5702,Zambia,5/20/10,Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC','Cipla Goa India',Adult
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,'ABBVIE Ludwigshafen Germany',Adult
116-ZA-T01,'Pre-PQ Process','South Africa','Pre-PQ Process',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,'ABBVIE Ludwigshafen Germany',Adult
109-TZ-T30,FPQ-13042,Tanzania,10/1/13,Nevirapine,Generic,200mg,Tablet,'Hetero Unit III Hyderabad IN',Adult
901-NA-T30,FPQ-14728,Namibia,7/30/14,'Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,600/200/300mg,'Tablet - FDC','Mylan  H-12 & H-13 India',Adult
900-UG-T30,FPQ-10048,Uganda,6/6/12,Efavirenz,Generic,600mg,Tablet,'Strides Bangalore India.',Adult
103-DO-T30,FPQ-11964,'Dominican Republic',4/10/13,Atazanavir,Generic,300mg,Capsule,'Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India',Adult
113-ZW-T30,FPQ-14458,Zimbabwe,6/13/14,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC','Cipla Ltd A-42 MIDC Mahar. IN',Adult
151-NG-T30,FPQ-5023,Nigeria,2/10/10,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC','Mylan (formerly Matrix) Nashik',Adult
116-ZA-T30,FPQ-11828,'South Africa',3/18/13,Stavudine,Generic,30mg,Capsule,'Aurobindo Unit III India',Adult
106-HT-T01,'Pre-PQ Process',Haiti,'Pre-PQ Process',Stavudine,Generic,30mg,Capsule,'Aurobindo Unit III India',Adult
110-ZM-T01,'Pre-PQ Process',Zambia,'Pre-PQ Process',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC','Aurobindo Unit III India',Adult
117-ET-T01,'Pre-PQ Process',Ethiopia,'Pre-PQ Process',Nevirapine,Generic,200mg,Tablet,'Aurobindo Unit III India',Adult
116-ZA-T30,FPQ-11828,'South Africa',3/18/13,Efavirenz,Generic,600mg,Tablet,'Cipla Goa India',Adult
108-VN-T30,FPQ-10811,Vietnam,10/15/12,Lamivudine,Generic,10mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
106-HT-T30,FPQ-4469,Haiti,9/23/09,Zidovudine,Generic,100mg,Capsule,'Aurobindo Unit III India',Pediatric
113-ZW-T30,FPQ-7052,Zimbabwe,1/19/11,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC','Cipla Goa India',Adult
144-BW-T30,FPQ-4167,Botswana,9/9/09,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary','Orasure Technologies Inc USA','HIV test - Ancillary'
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process',Zidovudine,Generic,10mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
102-GY-T01,'Pre-PQ Process',Guyana,'Pre-PQ Process','HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
119-NA-T01,'Pre-PQ Process',Namibia,'Pre-PQ Process',Lamivudine/Nevirapine/Stavudine,Generic,30/50/6mg,'Chewable/dispersible tablet - FDC','Cipla Goa India',Pediatric
106-HT-T30,FPQ-14083,Haiti,5/11/14,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC','Hetero Unit III Hyderabad IN',Adult
110-ZM-T30,FPQ-6222,Zambia,8/20/10,Efavirenz,Generic,600mg,Tablet,'Hetero Unit III Hyderabad IN',Adult
111-MZ-T01,'Pre-PQ Process',Mozambique,'Pre-PQ Process',Ritonavir,Norvir,100mg,Capsule,'ABBVIE (Abbott) Logis. UK',Adult
111-MZ-T30,FPQ-7053,Mozambique,1/24/11,Nevirapine,Generic,10mg/ml,'Oral suspension','Aurobindo Unit III India',Pediatric
111-MZ-T01,'Pre-PQ Process',Mozambique,'Pre-PQ Process','HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit','Inverness Japan','HIV test'
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','Pre-PQ Process',Nevirapine,Generic,200mg,Tablet,'Aurobindo Unit III India',Adult
105-SS-T30,FPQ-9807,'South Sudan',5/18/12,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
151-NG-T30,FPQ-9432,Nigeria,3/1/12,Efavirenz,Generic,600mg,Tablet,'Strides Bangalore India.',Adult
