country,'vendor inco term','shipment mode','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','weight (kilograms)','freight cost (usd)','line item insurance (usd)','sub classification'
Vietnam,EXW,Air,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,112.901977,88.205787,5.573556,0.502828,'Cipla Goa India',7.946543,109.984708,31.149964,Adult
Haiti,'N/A - From RDC',Air,Abacavir,Generic,300mg,Tablet,59.059059,0.506453,1.133621,15.918076,1.508485,'Aurobindo Unit III India',1.218866,2.589828,1.887541,Adult
'South Africa',DDP,Ocean,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,175.284436,121.421911,4.941886,0.921852,'Aurobindo Unit III India',11.831752,30.409997,154.695373,Adult
Uganda,'N/A - From RDC',Air,Efavirenz,Generic,600mg,Tablet,29.029029,58.074381,20.145078,2.474659,0.460926,'Aurobindo Unit III India',22.345496,366.030462,19.241247,Adult
'South Africa',DDP,Truck,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,0.087097,0.307978,24.768883,4.651163,'Aurobindo Unit III India',1.519792,23.33324,0.294482,Adult
Uganda,CIP,Air,Indinavir,Crixivan,400mg,Capsule,179.179179,0.075807,0.403226,37.157041,1.173266,'MSD Haarlem NL',0.01283,0.163127,0.609721,Adult
'South Africa',DDP,Air,Abacavir,Ziagen,20mg/ml,'Oral solution',239.239239,51.611457,53.871055,7.446271,0.167609,'GSK Mississauga (Canada)',14.304476,35.481039,68.633861,Pediatric
Vietnam,FCA,Air,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,1.288714,11.048405,61.086175,2.849361,'ABBVIE Ludwigshafen Germany',0.242607,11.906165,13.649973,Adult
'Congo DRC','N/A - From RDC',Air,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,6.385504,2.761093,3.084034,0.293317,'Mylan (formerly Matrix) Nashik',0.130634,33.443321,2.637369,Pediatric
Haiti,'N/A - From RDC',Air,Stavudine,Generic,20mg,Capsule,59.059059,0.811293,0.121089,1.062691,0.083805,'Aurobindo Unit III India',0.454888,22.22536,0.201078,Adult
Zambia,'N/A - From RDC',Truck,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,12.901655,2.620972,1.449125,0.041902,'Aurobindo Unit III India',3.601779,22.357622,3.339197,Pediatric
Mozambique,'N/A - From RDC',Truck,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,96.247085,86.022135,6.376148,0.586633,'Strides Bangalore India.',8.116834,24.68303,82.163187,Adult
Ethiopia,DDP,Air,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,0.129033,0.638121,34.845873,9.805154,'Chembio Diagnostics Sys. Inc.',1.519792,23.33324,0.788746,'HIV test'
Rwanda,'N/A - From RDC',Truck,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,22.596847,19.09096,6.026872,0.586633,'Mylan (formerly Matrix) Nashik',2.046996,14.942563,15.15352,Adult
'Congo DRC','N/A - From RDC',Air,Lamivudine,Generic,150mg,Tablet,59.059059,0.008065,0.002349,1.731518,0.167609,'Hetero Unit III Hyderabad IN',0.006998,1.80102,0.002595,Adult
Nigeria,'N/A - From RDC',Air,'Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,9.675838,26.461736,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',1.82655,36.675989,32.69144,Adult
Nigeria,EXW,Air,Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,0.669357,0.304033,3.232663,0.083805,'Aurobindo Unit III India',0.587855,20.437148,31.149964,Pediatric
'Cote d Ivoire','N/A - From RDC',Truck,Abacavir/Lamivudine,Generic,600/300mg,'Tablet - FDC',29.029029,2.88388,4.06373,10.047264,1.885607,'Mylan (formerly Matrix) Nashik',0.188953,5.101252,3.88146,Adult
Mozambique,'N/A - From RDC',Truck,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,52.430814,38.231917,5.201986,0.502828,'Hetero Unit III Hyderabad IN',1.519792,23.33324,36.517116,Adult
'Congo DRC','N/A - From RDC',Air,Didanosine,Generic,200mg,'Delayed-release capsules',29.029029,0.066129,0.077621,8.174549,1.550388,'Aurobindo Unit III India',0.130634,33.443321,0.073945,Pediatric
Tanzania,'N/A - From RDC',Truck,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,5.608083,3.546958,4.510865,0.838047,'Mylan (formerly Matrix) Nashik',14.244991,26.26061,3.387196,Adult
Tanzania,'N/A - From RDC',Truck,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,39.203352,7.963496,1.449125,0.041902,'Aurobindo Unit III India',1.519792,23.33324,10.146022,Pediatric
Uganda,DDU,Air,Etravirine,Intelence,100mg,Tablet,119.119119,0.079033,0.70548,62.408965,2.933166,'Janssen-Cilag Latina IT',0.011664,1.499211,1.174038,Adult
Nigeria,'N/A - From RDC',Air,'Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,1.066132,2.919612,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',0.072316,22.243416,4.418533,Adult
Nigeria,'N/A - From RDC','Air Charter',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,253.216946,203.629596,5.737047,0.544731,'Strides Bangalore India.',37.579576,174.585404,161.633223,Adult
Haiti,'N/A - From RDC',Air,Efavirenz,Generic,200mg,Capsule,89.089089,1.014519,1.025657,7.201034,0.460926,'Aurobindo Unit III India',1.23053,39.666331,1.30636,Pediatric
Swaziland,'N/A - From RDC',Air,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,2.014523,1.890124,6.688267,1.257071,'Mylan (formerly Matrix) Nashik',2.08432,44.181535,2.860501,Adult
Vietnam,EXW,Air,Zidovudine,Generic,10mg/ml,'Oral solution',239.239239,0.240323,0.052923,1.560596,0.041902,'Aurobindo Unit III India',0.06765,2.604086,0.05708,Pediatric
'South Sudan',EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.054839,0.188172,23.780506,6.704379,'Trinity Biotech Plc',0.204116,13.847319,0.149187,'HIV test'
Mozambique,'N/A - From RDC',Truck,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,0.353227,0.139718,2.809072,0.544731,'Hetero Unit III Hyderabad IN',11.886572,29.414976,0.110269,Adult
Nigeria,'N/A - From RDC',Air,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,1.698393,1.655732,6.948367,0.670438,'Mylan (formerly Matrix) Nashik',1.04041,46.098661,2.04581,Adult
Sudan,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.122581,1.15138,66.139532,3.729311,'Alere Medical Co. Ltd.',0.04199,5.910014,1.467223,'HIV test'
'South Africa',DDP,Truck,Efavirenz,Generic,200mg,Capsule,89.089089,0.074194,0.14411,13.56232,0.838047,'Aurobindo Unit III India',1.519792,23.33324,0.114161,Pediatric
Nigeria,'N/A - From RDC','Air Charter',Nevirapine,Generic,200mg,Tablet,59.059059,66.356666,17.349897,1.865283,0.167609,'Strides Bangalore India.',3.291523,43.501686,22.104343,Adult
Vietnam,EXW,Air,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,3.25001,4.626782,10.151303,1.927509,'Mylan (formerly Matrix) Nashik',0.142298,9.886642,5.715813,Adult
'South Africa',DDP,Truck,Efavirenz,Generic,200mg,Capsule,89.089089,0.03871,0.110756,19.596623,1.215169,'Aurobindo Unit III India',1.519792,23.33324,0.106377,Pediatric
Kenya,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,12.0952,100.806614,59.451265,3.352189,'Inverness Japan',2.58353,62.053333,152.560051,'HIV test'
Uganda,'N/A - From RDC',Air,Zidovudine,Generic,300mg,Tablet,59.059059,0.224194,0.191701,6.056598,0.586633,'Aurobindo Unit III India',0.5412,11.711449,0.237402,Adult
Vietnam,EXW,Air,Lamivudine,Generic,150mg,Tablet,59.059059,11.233907,2.808875,1.783538,0.167609,'Aurobindo Unit III India',1.2177,13.303806,4.251184,Adult
'Congo DRC','N/A - From RDC',Air,Zidovudine,Generic,10mg/ml,'Oral solution',239.239239,0.808067,0.177117,1.560596,0.041902,'Aurobindo Unit III India',0.884116,70.769572,0.168646,Pediatric
Haiti,'N/A - From RDC',Air,Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,4.527434,0.872784,1.37481,0.041902,'Aurobindo Unit III India',11.238065,328.906729,0.944419,Pediatric
Rwanda,'N/A - From RDC',Air,'HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,0.240323,3.50303,103.296573,5.824429,'Trinity Biotech Plc',0.151629,5.786797,4.327724,'HIV test'
Haiti,FCA,Air,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.159678,0.51781,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',0.191286,8.349938,0.494263,Pediatric
Ethiopia,FCA,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.320969,2.688176,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden',1.519792,23.33324,31.149964,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,4.661305,43.229068,66.139532,3.729311,'Alere Medical Co. Ltd.',1.607271,112.77771,55.074697,'HIV test'
Zambia,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,8.869383,0.009241,0.007431,0.0,'Inverness Japan',1.8942,43.657148,0.01427,'HIV test - Ancillary'
Uganda,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.135484,0.45699,23.780506,6.704379,'Trinity Biotech Plc',0.099142,4.326668,0.564317,'HIV test'
Nigeria,'N/A - From RDC',Air,Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,'Tablet - FDC',59.059059,1.824199,1.464451,5.722184,0.544731,'Cipla Goa India',3.319516,47.892742,1.809705,Adult
Nigeria,'N/A - From RDC',Air,Nevirapine,Generic,200mg,Tablet,59.059059,1.172584,0.295995,1.798401,0.167609,'Aurobindo Unit III India',9.299543,176.381211,0.320428,Adult
'South Africa',DDP,Truck,Nevirapine,Generic,200mg,Tablet,59.059059,0.027419,0.041546,10.210755,0.963754,'Aurobindo Unit III India',1.519792,23.33324,0.032432,Adult
Haiti,'N/A - From RDC',Air,Stavudine,Generic,1mg/ml,'Oral solution',199.199199,2.41775,0.352823,1.040397,0.041902,'Aurobindo Unit III India',0.274099,10.433159,0.435886,Pediatric
'South Africa',DDP,Air,Zidovudine,Generic,300mg,Tablet,59.059059,6.487118,7.89461,8.679885,0.796145,'Aurobindo Unit III India',1.519792,23.33324,11.947943,Adult
Tanzania,EXW,Air,Abacavir,Generic,300mg,Tablet,59.059059,30.643647,36.391188,8.471805,0.796145,'Aurobindo Unit III India',2.226618,33.1837,34.758006,Adult
Haiti,EXW,Ocean,Efavirenz,Generic,600mg,Tablet,29.029029,63.795367,21.930177,2.452365,0.460926,'Aurobindo Unit VII IN',4.459068,38.150791,17.406894,Adult
Uganda,'N/A - From RDC',Truck,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,5.280662,5.661929,7.646919,0.71234,'Strides Bangalore India.',0.850291,12.972961,6.129645,Adult
Kenya,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,13.846819,128.386296,66.139532,3.729311,'Inverness Japan',1.725075,53.578073,213.729367,'HIV test'
'Cote d Ivoire',FCA,Air,Ritonavir,Norvir,100mg,Tablet,59.059059,4.362917,3.114269,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',0.403567,32.932054,5.183928,Adult
Uganda,'N/A - From RDC',Air,Zidovudine,Generic,300mg,Tablet,59.059059,0.143549,0.113407,5.573556,0.502828,'Aurobindo Unit III India',0.004666,1.797913,0.189403,Adult
Uganda,FCA,Air,Ritonavir,Norvir,100mg,Capsule,335.335335,0.032258,0.135343,28.506881,0.460926,'ABBVIE (Abbott) Logis. UK',0.06765,2.678624,0.20497,Adult
Guyana,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,1.054842,11.004722,74.314081,4.190237,'Alere Medical Co. Ltd.',0.002333,17.64021,10.510557,'HIV test'
Nigeria,'N/A - From RDC','Air Charter',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,56.450182,54.981607,6.948367,0.670438,'Aurobindo Unit III India',3.688092,52.226798,83.208795,Adult
'South Africa',DDP,Truck,Didanosine,Generic,400mg,'Delayed-release capsules',29.029029,0.014516,0.036468,16.133587,3.01697,'Aurobindo Unit III India',1.519792,23.33324,0.035027,Adult
Mozambique,FCA,Air,Ritonavir,Norvir,100mg,Tablet,59.059059,0.269356,0.193347,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',0.026827,2.937555,0.184214,Adult
Mozambique,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.041936,0.145162,23.780506,6.704379,'Trinity Biotech Plc',1.519792,23.33324,0.132322,'HIV test'
Ghana,'N/A - From RDC',Truck,Didanosine,Generic,100mg,'Chewable/dispersible tablet',59.059059,1.43065,0.001492,0.007431,0.0,'Aurobindo Unit III India',1.519792,23.33324,0.002595,Pediatric
Vietnam,EXW,Air,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,3.546786,4.213716,8.471805,0.796145,'Aurobindo Unit III India',0.386072,9.566948,6.377425,Adult
Uganda,EXW,Air,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,330.712357,413.047303,8.910258,1.676095,'Mylan (formerly Matrix) Nashik',28.641611,506.986597,447.139758,Adult
'Cote d Ivoire','N/A - From RDC',Air,Didanosine,Generic,200mg,'Chewable/dispersible tablet',59.059059,4.850016,7.833346,11.518683,1.089462,'Aurobindo Unit III India',2.711832,61.938782,13.040252,Pediatric
Ethiopia,'N/A - From RDC',Air,Abacavir/Lamivudine,Generic,60/30mg,'Chewable/dispersible tablet - FDC',59.059059,0.690325,0.405792,4.183883,0.377121,'Cipla Patalganga India',0.045489,2.732136,0.321725,Pediatric
Rwanda,'N/A - From RDC',Air,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,96.755151,133.745852,9.861479,1.843704,'Mylan (formerly Matrix) Nashik',8.446919,20.10834,144.785456,Adult
Mozambique,'N/A - From RDC',Truck,Zidovudine,Generic,300mg,Tablet,59.059059,0.912906,0.623015,4.860141,0.460926,'Hetero Unit III Hyderabad IN',43.062726,27.109144,0.595451,Adult
Tanzania,FCA,Air,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.700002,2.252473,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',0.548198,14.729307,2.150889,Pediatric
'South Africa',DDP,Ocean,Efavirenz,Generic,200mg,Capsule,89.089089,0.48226,0.411795,6.07146,0.377121,'Aurobindo Unit III India',0.046655,1.457229,0.524101,Pediatric
