country,'vendor inco term','shipment mode','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','weight (kilograms)','freight cost (usd)','line item insurance (usd)','sub classification'
Zambia,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,8.869383,0.009241,0.007431,0,'Inverness Japan',1.8942,43.657148,0.01427,'HIV test - Ancillary'
Botswana,EXW,Air,'HIV 1 Uni-Gold Recombigen HIV Control Vial 2 x 0.5 ml',Uni-Gold,300mg,'Test kit - Ancillary',1.001001,0.022581,0.075605,22.294224,62.853551,'Trinity Biotech Plc',0.001166,1.99294,0.114161,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.183872,0.15457,5.945126,0.335219,'Alere Medical Co. Ltd.',0.173791,7.194035,0.123242,'HIV test - Ancillary'
Zambia,'N/A - From RDC',Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,1.404843,0.001465,0.007431,0,'Inverness Japan',0.733653,10.141533,0.001297,'HIV test - Ancillary'
Mozambique,EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.367743,0.192373,3.715704,20.951184,'Alere Medical Co. Ltd.',1.519792,23.33324,0.153079,'HIV test - Ancillary'
Uganda,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,1.39194,0.725808,3.715704,0.209512,'Alere Medical Co. Ltd.',0.151629,1.843969,0.692747,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.022581,0.020161,5.945126,0.335219,'Alere Medical Co. Ltd.',1.519792,23.33324,0.018162,'HIV test - Ancillary'
Pakistan,'N/A - From RDC',Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.017742,0.00002,0.007431,0,'Inverness Japan',0.022161,2.936243,0,'HIV test - Ancillary'
Sudan,EXW,Air,'HIV 1/2 Bioline 3.0 Diluent 25 Tests',Bioline,300mg,'Test kit - Ancillary',0,0.019355,0.001966,0.668827,3.771213,'Standard Diagnostics Korea',0.001166,0.472118,0.002595,'HIV test - Ancillary'
Nigeria,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,11.087133,0.011551,0.007431,0,'Inverness Japan',1.519792,23.33324,0.01427,'HIV test - Ancillary'
Botswana,EXW,Air,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary',2.002002,0.014516,0.042003,18.57852,34.904672,'Orasure Technologies Inc USA',0.006998,1.049568,0.063567,'HIV test - Ancillary'
'Cote d Ivoire',EXW,Air,'HIV 1/2 Stat-Pak Buffer Only',Stat-Pak,300mg,'Test kit - Ancillary',0,1.062907,0.277218,1.857852,10.475592,'Chembio Diagnostics Sys. Inc.',1.519792,23.33324,0.461831,'HIV test - Ancillary'
'South Sudan',EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.022581,0.012601,3.715704,20.951184,'Alere Medical Co. Ltd.',1.519792,23.33324,0.011676,'HIV test - Ancillary'
Mozambique,EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.129033,0.068044,3.715704,20.951184,'Alere Medical Co. Ltd.',0.018662,1.610585,0.073945,'HIV test - Ancillary'
Guyana,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.341937,0.000358,0.007431,0,'Inverness Japan',0.016329,0.618845,0,'HIV test - Ancillary'
Zimbabwe,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,2.633879,0.002745,0.007431,0,'Inverness Japan',1.519792,23.33324,0.003892,'HIV test - Ancillary'
'Dominican Republic',EXW,Air,'HIV 1/2 Bioline 3.0 Diluent 25 Tests',Bioline,300mg,'Test kit - Ancillary',0,0.262904,0.024798,0.668827,3.771213,'Standard Diagnostics Korea',0.032659,1.667274,0.031135,'HIV test - Ancillary'
'Congo DRC',EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,5.661309,2.949434,3.715704,20.951184,'Alere Medical Co. Ltd.',1.144218,79.0303,2.817691,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.183872,0.15457,5.945126,0.335219,'Alere Medical Co. Ltd.',0.173791,11.241093,0.14789,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.183872,0.15457,5.945126,0.335219,'Alere Medical Co. Ltd.',0.134134,8.841147,0.14789,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.343549,0.287635,5.945126,0.335219,'Alere Medical Co. Ltd.',0.113139,8.93999,0.275023,'HIV test - Ancillary'
Rwanda,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,2.41775,0.00252,0.007431,0,'Inverness Japan',0.115472,0,0.002595,'HIV test - Ancillary'
Mali,CIP,Air,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary',0,0.051613,0.138609,18.57852,104.755919,'Orasure Technologies Inc USA',1.519792,23.33324,0.110269,'HIV test - Ancillary'
Rwanda,'N/A - From RDC',Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,2.014523,0.0021,0.007431,0,'Inverness Japan',0.422229,28.111069,0.002595,'HIV test - Ancillary'
Guyana,'N/A - From RDC',Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.243549,0.000255,0.007431,0,'Inverness Japan',0.052487,2.754474,0,'HIV test - Ancillary'
'South Sudan',EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.030645,0.016801,3.715704,20.951184,'Alere Medical Co. Ltd.',1.519792,23.33324,0.015567,'HIV test - Ancillary'
'Dominican Republic',EXW,Air,'HIV 1/2 Bioline 3.0 Diluent 25 Tests',Bioline,300mg,'Test kit - Ancillary',0,0.72097,0.067742,0.668827,3.771213,'Standard Diagnostics Korea',0.082813,2.91249,0.086918,'HIV test - Ancillary'
Botswana,EXW,Air,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary',2.002002,0.014516,0.025622,11.332897,21.286403,'Orasure Technologies Inc USA',0.008165,1.813553,0.038918,'HIV test - Ancillary'
Swaziland,EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.353227,0.240256,4.830415,27.236539,'Alere Medical Co. Ltd.',1.519792,23.33324,0.259456,'HIV test - Ancillary'
Botswana,EXW,Air,'HIV 1 Uni-Gold Recombigen HIV Control Vial 2 x 0.5 ml',Uni-Gold,300mg,'Test kit - Ancillary',1.001001,0.022581,0.078125,23.037365,64.94867,'Trinity Biotech Plc',0.005832,2.042828,0.129728,'HIV test - Ancillary'
Zimbabwe,EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,6.351633,3.308977,3.715704,20.951184,'Alere Medical Co. Ltd.',4.160475,178.599801,2.626991,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.524195,0.438173,5.945126,0.335219,'Alere Medical Co. Ltd.',0.409399,22.250563,0.474804,'HIV test - Ancillary'
Botswana,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.159678,0.000168,0.007431,0,'Inverness Japan',1.519792,23.33324,0,'HIV test - Ancillary'
Kenya,'N/A - From RDC',Truck,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,8.062929,0.008401,0.007431,0,'Inverness Japan',1.519792,23.33324,0.012973,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.27742,0.232527,5.945126,0.335219,'Alere Medical Co. Ltd.',0.234442,17.688336,0.251672,'HIV test - Ancillary'
Sudan,EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0,0.001344,5.945126,0.335219,'Alere Medical Co. Ltd.',0.002333,3.054488,0.001297,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.545163,0.455646,5.945126,0.335219,'Alere Medical Co. Ltd.',0.204116,16.579559,0.492966,'HIV test - Ancillary'
'South Sudan',EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.382259,0.199933,3.715704,20.951184,'Alere Medical Co. Ltd.',0.386072,26.026951,0.216646,'HIV test - Ancillary'
Kenya,'N/A - From RDC',Truck,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.385485,0.201613,3.715704,0.209512,'Inverness Japan',0.875951,0.653576,0.249078,'HIV test - Ancillary'
Mozambique,EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.345162,0.180612,3.715704,20.951184,'Alere Medical Co. Ltd.',0.047822,3.453346,0.195889,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.159678,0.134409,5.945126,0.335219,'Alere Medical Co. Ltd.',1.519792,23.33324,0.121944,'HIV test - Ancillary'
'Cote d Ivoire',EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.401614,0.00042,0.007431,0,'Inverness Japan',0.019828,23.33324,0,'HIV test - Ancillary'
Cameroon,EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.079033,0.042003,3.715704,20.951184,'Alere Medical Co. Ltd.',0.02566,4.292144,0.045405,'HIV test - Ancillary'
'Congo DRC',EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,5.543566,2.888109,3.715704,20.951184,'Alere Medical Co. Ltd.',1.844046,141.428184,2.292293,'HIV test - Ancillary'
Zimbabwe,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,2.250007,0.002345,0.007431,0,'Inverness Japan',0.482881,19.956296,0.003892,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.079033,0.067204,5.945126,0.335219,'Alere Medical Co. Ltd.',1.519792,23.33324,0.060972,'HIV test - Ancillary'
Zimbabwe,'N/A - From RDC',Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.885487,0.000924,0.007431,0,'Inverness Japan',0.187787,3.239641,0.001297,'HIV test - Ancillary'
Rwanda,'N/A - From RDC',Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,3.374204,0.003516,0.007431,0,'Inverness Japan',0.710325,44.800346,0.003892,'HIV test - Ancillary'
'Cote d Ivoire',EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.111291,0.000118,0.007431,0,'Inverness Japan',1.519792,23.33324,0,'HIV test - Ancillary'
Nigeria,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,10.485518,0.010924,0.007431,0,'Inverness Japan',2.247613,85.859105,0.012973,'HIV test - Ancillary'
Sudan,EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.003226,0.004032,5.945126,0.335219,'Alere Medical Co. Ltd.',0.002333,3.712725,0.005189,'HIV test - Ancillary'
'South Sudan',EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.337098,0.176412,3.715704,20.951184,'Alere Medical Co. Ltd.',0.219279,10.347228,0.168646,'HIV test - Ancillary'
'South Sudan',EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.030645,0.026882,5.945126,0.335219,'Alere Medical Co. Ltd.',1.519792,23.33324,0.024648,'HIV test - Ancillary'
Botswana,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.159678,0.000168,0.007431,0,'Inverness Japan',1.519792,23.33324,0,'HIV test - Ancillary'
'Dominican Republic',EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.179033,0,0,0,'Alere Medical Co. Ltd.',0.053653,4.928251,0,'HIV test'
'Cote d Ivoire',EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,9.272611,77.285071,59.451265,3.352189,'Alere Medical Co. Ltd.',3.935364,85.690213,70.237298,'HIV test'
Uganda,EXW,Air,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,1.369359,10.280847,53.498707,3.01697,'Inverness Japan',0.226278,9.12024,12.701662,'HIV test'
'Cote d Ivoire',EXW,Air,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,0.562905,1.205479,15.234387,3.435994,'Standard Diagnostics Korea',0.129468,6.409889,0.957392,'HIV test'
Mozambique,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,4.988726,41.586089,59.451265,3.352189,'Alere Medical Co. Ltd.',1.722742,95.581929,52.982186,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,4.874209,45.202862,66.139532,3.729311,'Alere Medical Co. Ltd.',1.424149,44.166552,43.174754,'HIV test'
Zimbabwe,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,4.604854,38.387159,59.451265,3.352189,'Inverness Japan',1.28535,92.682938,48.906134,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,9.33874,31.134459,23.780506,6.704379,'Trinity Biotech Plc',2.237116,83.364184,39.665613,'HIV test'
Haiti,EXW,Air,'HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,0.001613,0.046707,103.296573,5.824429,'Trinity Biotech Plc',0.001166,3.096021,0.05708,'HIV test'
'Cote d Ivoire',EXW,Air,'HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,1.180649,9.279509,55.99566,7.877645,'Bio-Rad Laboratories',0.913275,24.437908,31.149964,'HIV test'
Tanzania,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,2.014523,16.801102,59.451265,3.352189,'Inverness Japan',0.699828,49.707641,21.405109,'HIV test'
'Dominican Republic',EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.664518,2.220434,23.780506,6.704379,'Trinity Biotech Plc',0.156295,3.739309,2.121052,'HIV test'
Zambia,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,4.030658,30.241984,53.506138,3.01697,'Inverness Japan',0.863121,25.937844,50.344817,'HIV test'
'Cote d Ivoire','N/A - From RDC',Air,'HIV 2 New LAV Blot 2 HIV Kit',LAV,300mg,'Test kit',17.017017,0.017742,0.621311,229.013704,71.736853,'Bio-Rad Laboratories',0.045489,4.409595,0.767989,'HIV test'
Tanzania,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,1.35323,11.290341,59.451265,3.352189,'Alere Medical Co. Ltd.',0.472384,26.807507,12.221669,'HIV test'
Guyana,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,4.464531,14.887121,23.780506,6.704379,'Trinity Biotech Plc',1.021748,30.965455,16.116101,'HIV test'
'South Sudan',EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.03871,0.134409,23.780506,6.704379,'Trinity Biotech Plc',0.191286,6.457118,0.121944,'HIV test'
'Dominican Republic',EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,3.869367,38.70974,71.341518,4.022627,'Alere Medical Co. Ltd.',1.140719,35.070996,30.726061,'HIV test'
Uganda,EXW,Air,'HIV Multispot HIV-1/HIV-2 Rapid Test Kit',Multispot,300mg,'Test kit',49.049049,0.048387,6.510427,928.926013,104.755919,'Bio-Rad Laboratories',0.050154,4.569891,6.21786,'HIV test'
'South Sudan',EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.401614,3.738245,66.139532,3.729311,'Alere Medical Co. Ltd.',0.134134,9.181003,3.570113,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,9.74358,32.483923,23.780506,6.704379,'Trinity Biotech Plc',2.321095,78.91637,35.165351,'HIV test'
Rwanda,EXW,Air,'HIV 1/2 Colloidal Gold Diagnostic Kit Antibody','Colloidal Gold',300mg,'Test kit',0,4.817757,12.299415,18.20695,102.6608,'KHB Test Kit Facility Shanghai China',2.323428,90.679675,11.748162,'HIV test'
Zambia,FCA,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,1.611296,13.440882,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden',0.400068,8.192508,31.149964,'HIV test'
Zambia,EXW,Air,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,4.837112,36.285341,53.498707,3.01697,'Inverness Japan',1.036911,25.212181,44.827488,'HIV test'
Kenya,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,12.0952,100.806614,59.451265,3.352189,'Inverness Japan',2.58353,62.053471,152.560051,'HIV test'
Zambia,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,9.675838,80.645291,59.451265,3.352189,'Alere Medical Co. Ltd.',2.844799,106.626096,64.012952,'HIV test'
Mozambique,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.035484,0.123656,23.780506,6.704379,'Trinity Biotech Plc',0.009331,1.925445,0.13362,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,10.280678,95.325255,66.139532,3.729311,'Alere Medical Co. Ltd.',4.390252,131.29069,75.665115,'HIV test'
Sudan,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.185484,1.734546,66.139532,3.729311,'Alere Medical Co. Ltd.',0.052487,6.769837,2.209267,'HIV test'
Rwanda,EXW,Air,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,8.198414,59.791763,52.019857,2.933166,'Inverness Japan',1.344835,161.012482,90.487829,'HIV test'
'Cote d Ivoire',EXW,Air,'HIV 1/2 Bioline 3.0 Kit (no accessories)',Bioline,300mg,'Test kit',29.029029,2.901622,7.258076,17.835379,3.352189,'Standard Diagnostics Korea',0.653172,17.882086,10.984064,'HIV test'
Guyana,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,2.209685,7.37098,23.780506,6.704379,'Trinity Biotech Plc',0.545866,19.792203,11.155305,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,12.901655,36.290381,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.',3.036085,78.844629,44.833974,'HIV test'
'South Sudan',EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.401614,3.738245,66.139532,3.729311,'Alere Medical Co. Ltd.',0.134134,8.841147,3.570113,'HIV test'
Guyana,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,3.183881,10.618297,23.780506,6.704379,'Trinity Biotech Plc',0.768644,31.436848,13.528029,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,7.817767,23.621006,21.551083,6.075843,'Chembio Diagnostics Sys. Inc.',2.080821,28.474056,25.570673,'HIV test'
'Congo DRC',EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.025807,0.091398,23.780506,6.704379,'Trinity Biotech Plc',0.130634,11.032394,0.072648,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,2.41775,20.161323,59.451265,3.352189,'Inverness Japan',0.519039,24.578594,30.51201,'HIV test'
Namibia,EXW,Air,'HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit',24.024024,0.106452,0.844255,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.',0.055986,1.385177,1.27782,'HIV test'
Nigeria,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,9.095191,84.334813,66.139532,3.729311,'Alere Medical Co. Ltd.',2.673341,94.461897,76.644561,'HIV test'
Kenya,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0,0.013441,59.451265,3.352189,'Inverness Japan',0.958764,29.912193,0.022054,'HIV test'
Cameroon,EXW,Air,'HIV 1/2 OraQuick Advance HIV Rapid Antibody Kit',OraQuick,300mg,'Test kit',99.099099,0.03871,1.470096,260.099284,14.665829,'Pacific Biotech Thailand',1.519792,23.33324,1.336198,'HIV test'
Mozambique,'N/A - From RDC',Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,8.062929,26.881764,23.780506,6.704379,'Trinity Biotech Plc',3.226205,36.933504,33.210351,'HIV test'
Tanzania,'N/A - From RDC',Air,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,14.837145,30.914028,14.862816,3.352189,'Standard Diagnostics Korea',3.880544,46.972328,38.191904,'HIV test'
Mozambique,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.340324,2.849467,59.451265,3.352189,'Inverness Japan',0.113139,6.594731,4.744151,'HIV test'
'Cote d Ivoire',EXW,Air,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,2.256459,4.821916,15.234387,3.435994,'Standard Diagnostics Korea',0.509708,18.671273,3.826974,'HIV test'
'Cote d Ivoire','N/A - From RDC',Air,'HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,1.143552,9.065875,56.478702,7.96145,'Bio-Rad Laboratories',0.899278,11.238469,11.20071,'HIV test'
Tanzania,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.003226,0.040323,59.451265,3.352189,'Alere Medical Co. Ltd.',0.002333,3.191031,0.038918,'HIV test'
Namibia,EXW,Air,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,0.288711,2.116939,52.019857,2.933166,'Inverness Japan',0.050154,9.526451,3.20428,'HIV test'
