'pq #','fulfill via','vendor inco term','po sent to vendor date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','pack price','unit price','manufacturing site','sub classification'
'Pre-PQ Process','Direct Drop',CIP,11/17/06,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,30.543087,1.42468,ABBSP,Adult
FPQ-11022,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,7.817841,1.466583,'Hetero Unit III Hyderabad IN',Adult
FPQ-4157,'Direct Drop',EXW,9/3/09,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-14942,'Direct Drop',DDP,10/9/14,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,17.419221,3.268385,'Aurobindo Unit III India',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Efavirenz,Stocrin/Sustiva,200mg,Capsule,89.089089,23.891977,1.508485,'MSD Midrand J burg SA',Pediatric
FPQ-14790,'Direct Drop',FCA,8/20/14,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',Pediatric
'Pre-PQ Process','Direct Drop',EXW,10/21/08,Lamivudine,Generic,150mg,Tablet,59.059059,1.783538,0.167609,'Aurobindo Unit III India',Adult
FPQ-11489,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,18.400166,0.87995,'Aurobindo Unit III India',Adult
FPQ-6024,'Direct Drop',CIP,8/2/10,Didanosine,Videx,50mg,'Chewable/dispersible tablet',59.059059,7.059838,0.670438,'BMS Meymac France',Pediatric
FPQ-8840,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.138343,0.586633,'Aurobindo Unit III India',Adult
FPQ-13693,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,15.026307,0.71234,'ABBVIE Ludwigshafen Germany',Adult
FPQ-14942,'Direct Drop',DDP,6/2/15,Abacavir,Generic,300mg,Tablet,59.059059,37.045569,3.477897,'Aurobindo Unit III India',Adult
FPQ-5648,'Direct Drop',DDP,6/17/10,Lamivudine,Generic,150mg,Tablet,59.059059,1.850421,0.167609,'Strides Bangalore India.',Adult
FPQ-12086,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,20mg/ml,'Oral solution',239.239239,6.324128,0.167609,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',EXW,4/15/09,'HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,81.745489,11.523151,'Bio-Rad Laboratories','HIV test'
FPQ-8303,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,3.158348,0.293317,'Mylan (formerly Matrix) Nashik',Pediatric
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV 2 New LAV Blot 2 HIV Kit',LAV,300mg,'Test kit',17.017017,229.013704,71.736853,'Bio-Rad Laboratories','HIV test'
'Pre-PQ Process','Direct Drop',DDP,2/20/08,Lopinavir/Ritonavir,Kaletra,133.3/33.3mg,Capsule,179.179179,29.279748,0.921852,'ABBVIE (Abbott) Logis. UK',Adult
FPQ-5523,'From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,30mg,Capsule,59.059059,1.047829,0.083805,'Strides Bangalore India.',Adult
FPQ-13221,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,3.433311,0.628536,'Hetero Unit III Hyderabad IN',Adult
FPQ-14654,'Direct Drop',EXW,8/27/14,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-14569,'Direct Drop',EXW,8/4/14,Sulfadoxine/Pyrimethamine,Generic,500/25mg,'Tablet - FDC',1000.0,20.287744,0.125707,'Guilin OSD site No 17 China',Malaria
FPQ-10537,'Direct Drop',EXW,9/12/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0.0,4.830415,27.236539,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-6991,'Direct Drop',EXW,2/25/11,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-11553,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.716655,0.167609,'Cipla Goa India',Adult
FPQ-14305,'Direct Drop',EXW,6/2/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-13976,'Direct Drop',EXW,4/30/14,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.019441,0.544731,'Mylan (formerly Matrix) Nashik',Adult
FPQ-13554,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,300mg,Tablet,59.059059,8.44208,0.796145,'Aurobindo Unit III India',Adult
FPQ-4250,'Direct Drop',EXW,10/23/09,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,14.862816,3.352189,'Standard Diagnostics Korea','HIV test'
FPQ-6194,'Direct Drop',EXW,9/24/10,'HIV 1/2 Colloidal Gold Diagnostic Kit Antibody','Colloidal Gold',300mg,'Test kit',0.0,17.092239,96.375445,'KHB Test Kit Facility Shanghai China','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.499242,0.502828,'Cipla Goa India',Adult
FPQ-12623,'Direct Drop',EXW,8/6/13,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,8.70961,1.634192,'Aurobindo Unit III India',Adult
FPQ-11422,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,18.400166,0.87995,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,50mg,Capsule,29.029029,1.664635,0.293317,'Aurobindo Unit III India',Pediatric
FPQ-11783,'Direct Drop',EXW,4/11/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
'Pre-PQ Process','Direct Drop',EXW,5/18/09,'HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit',24.024024,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-8840,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,4.518296,0.838047,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','Direct Drop',EXW,10/2/08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,53.498707,3.01697,'Inverness Japan','HIV test'
FPQ-11254,'From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,3.002289,0.544731,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',Adult
FPQ-12901,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,8.011058,1.508485,'Hetero Unit III Hyderabad IN',Adult
FPQ-7175,'Direct Drop',DDP,3/24/11,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,1.679498,0.041902,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',EXW,1/9/07,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,5.573556,0.502828,'Cipla Goa India',Adult
FPQ-4384,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir,Generic,300mg,Tablet,59.059059,15.918076,1.508485,'Aurobindo Unit III India',Adult
FPQ-6708,'Direct Drop',DDP,12/14/10,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,4.941886,0.921852,'Aurobindo Unit III India',Adult
FPQ-12473,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,2.474659,0.460926,'Aurobindo Unit III India',Adult
FPQ-12522,'Direct Drop',DDP,8/29/14,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,24.768883,4.651163,'Aurobindo Unit III India',Adult
FPQ-3891,'Direct Drop',CIP,9/14/09,Indinavir,Crixivan,400mg,Capsule,179.179179,37.157041,1.173266,'MSD Haarlem NL',Adult
FPQ-6708,'Direct Drop',DDP,12/14/10,Abacavir,Ziagen,20mg/ml,'Oral solution',239.239239,7.446271,0.167609,'GSK Mississauga (Canada)',Pediatric
'Pre-PQ Process','Direct Drop',FCA,3/31/08,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,61.086175,2.849361,'ABBVIE Ludwigshafen Germany',Adult
FPQ-11096,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,3.084034,0.293317,'Mylan (formerly Matrix) Nashik',Pediatric
FPQ-5523,'From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,20mg,Capsule,59.059059,1.062691,0.083805,'Aurobindo Unit III India',Adult
FPQ-7667,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,1.449125,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-12416,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.376148,0.586633,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',DDP,4/28/08,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,34.845873,9.805154,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-14111,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,6.026872,0.586633,'Mylan (formerly Matrix) Nashik',Adult
FPQ-8840,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.731518,0.167609,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',Adult
'Pre-PQ Process','Direct Drop',EXW,'N/A - From RDC',Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,3.232663,0.083805,'Aurobindo Unit III India',Pediatric
FPQ-12144,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir/Lamivudine,Generic,600/300mg,'Tablet - FDC',29.029029,10.047264,1.885607,'Mylan (formerly Matrix) Nashik',Adult
FPQ-11033,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,5.201986,0.502828,'Hetero Unit III Hyderabad IN',Adult
FPQ-11096,'From RDC','N/A - From RDC','N/A - From RDC',Didanosine,Generic,200mg,'Delayed-release capsules',29.029029,8.174549,1.550388,'Aurobindo Unit III India',Pediatric
FPQ-12015,'From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,4.510865,0.838047,'Mylan (formerly Matrix) Nashik',Adult
FPQ-8303,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,1.449125,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-5837,'Direct Drop',DDU,8/11/10,Etravirine,Intelence,100mg,Tablet,119.119119,62.408965,2.933166,'Janssen-Cilag Latina IT',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',Adult
FPQ-14766,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,5.737047,0.544731,'Strides Bangalore India.',Adult
FPQ-6801,'From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,200mg,Capsule,89.089089,7.201034,0.460926,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,6.688267,1.257071,'Mylan (formerly Matrix) Nashik',Adult
FPQ-9576,'Direct Drop',EXW,6/8/12,Zidovudine,Generic,10mg/ml,'Oral solution',239.239239,1.560596,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-14470,'Direct Drop',EXW,7/1/14,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-14226,'From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,2.809072,0.544731,'Hetero Unit III Hyderabad IN',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.948367,0.670438,'Mylan (formerly Matrix) Nashik',Adult
FPQ-8261,'Direct Drop',EXW,9/14/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-14942,'Direct Drop',DDP,10/9/14,Efavirenz,Generic,200mg,Capsule,89.089089,13.56232,0.838047,'Aurobindo Unit III India',Pediatric
FPQ-6800,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.865283,0.167609,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',EXW,4/10/08,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,10.151303,1.927509,'Mylan (formerly Matrix) Nashik',Adult
FPQ-12522,'Direct Drop',DDP,8/27/14,Efavirenz,Generic,200mg,Capsule,89.089089,19.596623,1.215169,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',EXW,5/14/09,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,6.056598,0.586633,'Aurobindo Unit III India',Adult
'Pre-PQ Process','Direct Drop',EXW,10/21/08,Lamivudine,Generic,150mg,Tablet,59.059059,1.783538,0.167609,'Aurobindo Unit III India',Adult
FPQ-12088,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,10mg/ml,'Oral solution',239.239239,1.560596,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-9056,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,1.37481,0.041902,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,103.296573,5.824429,'Trinity Biotech Plc','HIV test'
FPQ-11286,'Direct Drop',FCA,2/5/13,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',Pediatric
'Pre-PQ Process','Direct Drop',FCA,12/14/06,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden','HIV test'
FPQ-8117,'Direct Drop',EXW,8/15/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
'Pre-PQ Process','Direct Drop',EXW,10/2/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0.0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,3/13/08,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,'Tablet - FDC',59.059059,5.722184,0.544731,'Cipla Goa India',Adult
FPQ-9968,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.798401,0.167609,'Aurobindo Unit III India',Adult
FPQ-14942,'Direct Drop',DDP,8/24/15,Nevirapine,Generic,200mg,Tablet,59.059059,10.210755,0.963754,'Aurobindo Unit III India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,1mg/ml,'Oral solution',199.199199,1.040397,0.041902,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',DDP,3/13/09,Zidovudine,Generic,300mg,Tablet,59.059059,8.679885,0.796145,'Aurobindo Unit III India',Adult
FPQ-12868,'Direct Drop',EXW,9/9/13,Abacavir,Generic,300mg,Tablet,59.059059,8.471805,0.796145,'Aurobindo Unit III India',Adult
FPQ-15038,'Direct Drop',EXW,12/24/14,Efavirenz,Generic,600mg,Tablet,29.029029,2.452365,0.460926,'Aurobindo Unit VII IN',Adult
FPQ-9321,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,7.646919,0.71234,'Strides Bangalore India.',Adult
FPQ-6406,'Direct Drop',EXW,11/22/10,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Inverness Japan','HIV test'
FPQ-4698,'Direct Drop',FCA,1/15/10,Ritonavir,Norvir,100mg,Tablet,59.059059,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',Adult
FPQ-5275,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,5.573556,0.502828,'Aurobindo Unit III India',Adult
FPQ-4373,'Direct Drop',FCA,12/2/09,Ritonavir,Norvir,100mg,Capsule,335.335335,28.506881,0.460926,'ABBVIE (Abbott) Logis. UK',Adult
FPQ-12235,'Direct Drop',EXW,6/4/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,74.314081,4.190237,'Alere Medical Co. Ltd.','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.948367,0.670438,'Aurobindo Unit III India',Adult
FPQ-12522,'Direct Drop',DDP,8/13/13,Didanosine,Generic,400mg,'Delayed-release capsules',29.029029,16.133587,3.01697,'Aurobindo Unit III India',Adult
FPQ-11923,'Direct Drop',FCA,4/25/13,Ritonavir,Norvir,100mg,Tablet,59.059059,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',Adult
FPQ-15323,'Direct Drop',EXW,11/19/14,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Didanosine,Generic,100mg,'Chewable/dispersible tablet',59.059059,0.007431,0.0,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',EXW,7/24/08,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.471805,0.796145,'Aurobindo Unit III India',Adult
FPQ-10289,'Direct Drop',EXW,7/31/12,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,8.910258,1.676095,'Mylan (formerly Matrix) Nashik',Adult
FPQ-6144,'From RDC','N/A - From RDC','N/A - From RDC',Didanosine,Generic,200mg,'Chewable/dispersible tablet',59.059059,11.518683,1.089462,'Aurobindo Unit III India',Pediatric
FPQ-14544,'From RDC','N/A - From RDC','N/A - From RDC',Abacavir/Lamivudine,Generic,60/30mg,'Chewable/dispersible tablet - FDC',59.059059,4.183883,0.377121,'Cipla Patalganga India',Pediatric
FPQ-9969,'From RDC','N/A - From RDC','N/A - From RDC','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,9.861479,1.843704,'Mylan (formerly Matrix) Nashik',Adult
FPQ-11882,'From RDC','N/A - From RDC','N/A - From RDC',Zidovudine,Generic,300mg,Tablet,59.059059,4.860141,0.460926,'Hetero Unit III Hyderabad IN',Adult
FPQ-12050,'Direct Drop',FCA,5/8/13,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',Pediatric
FPQ-7176,'Direct Drop',DDP,4/1/11,Efavirenz,Generic,200mg,Capsule,89.089089,6.07146,0.377121,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC','Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,22.457715,4.232139,'Aspen-OSD Port Elizabeth SA',Adult
FPQ-7162,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,6.138343,0.586633,'Aurobindo Unit III India',Adult
FPQ-9212,'Direct Drop',EXW,2/6/12,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-10790,'Direct Drop',EXW,10/31/12,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,8.538688,1.59229,'Mylan (formerly Matrix) Nashik',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,30.543087,1.42468,'ABBVIE Ludwigshafen Germany',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Lamivudine,Generic,150mg,Tablet,59.059059,1.813264,0.167609,'Aurobindo Unit III India',Adult
FPQ-8840,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,1.917303,0.167609,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',DDP,'N/A - From RDC',Nevirapine,Viramune,10mg/ml,'Oral suspension',239.239239,10.359383,0.251414,'BI Ingelheim Germany',Pediatric
FPQ-5023,'From RDC','N/A - From RDC','N/A - From RDC',Nevirapine,Generic,200mg,Tablet,59.059059,2.028774,0.209512,'Aurobindo Unit III India',Adult
FPQ-6341,'Direct Drop',EXW,9/28/10,Nevirapine,Generic,200mg,Tablet,59.059059,1.805832,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-8157,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,8.33804,0.796145,'Aurobindo Unit III India',Adult
'Pre-PQ Process','Direct Drop',EXW,4/27/09,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,52.019857,2.933166,'Inverness Japan','HIV test'
FPQ-8295,'From RDC','N/A - From RDC','N/A - From RDC','Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,4.770964,0.87995,'Mylan (formerly Matrix) Nashik',Adult
FPQ-5702,'From RDC','N/A - From RDC','N/A - From RDC',Lamivudine/Stavudine,Generic,150/30mg,'Tablet - FDC',59.059059,2.437502,0.209512,'Cipla Goa India',Adult
'Pre-PQ Process','Direct Drop',FCA,7/4/07,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,61.078743,2.849361,'ABBVIE Ludwigshafen Germany',Adult
'Pre-PQ Process','Direct Drop',DDP,3/27/09,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,26.738206,1.257071,'ABBVIE Ludwigshafen Germany',Adult
