'pq #','fulfill via','vendor inco term','po sent to vendor date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','pack price','unit price','manufacturing site','sub classification'
'Pre-PQ Process','Direct Drop',EXW,3/11/08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,53.498707,3.01697,'Inverness Japan','HIV test'
FPQ-13602,'Direct Drop',EXW,2/26/14,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,15.234387,3.435994,'Standard Diagnostics Korea','HIV test'
FPQ-8527,'Direct Drop',EXW,12/29/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-12456,'Direct Drop',EXW,7/10/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-7521,'Direct Drop',EXW,5/5/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
FPQ-7553,'Direct Drop',EXW,5/18/11,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','Direct Drop',EXW,'N/A - From RDC','HIV 1/2 Capillus HIV Kit',Capillus,300mg,'Test kit',99.099099,103.296573,5.824429,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','Direct Drop',EXW,'N/A - From RDC','HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,55.99566,7.877645,'Bio-Rad Laboratories','HIV test'
FPQ-6936,'Direct Drop',EXW,3/2/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
FPQ-11295,'Direct Drop',EXW,1/11/13,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','Direct Drop',EXW,10/5/09,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,53.506138,3.01697,'Inverness Japan','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV 2 New LAV Blot 2 HIV Kit',LAV,300mg,'Test kit',17.017017,229.013704,71.736853,'Bio-Rad Laboratories','HIV test'
FPQ-10396,'Direct Drop',EXW,10/4/12,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-10249,'Direct Drop',EXW,7/26/12,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-15569,'Direct Drop',EXW,2/20/15,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-13790,'Direct Drop',EXW,3/20/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,71.341518,4.022627,'Alere Medical Co. Ltd.','HIV test'
FPQ-12273,'Direct Drop',EXW,8/5/13,'HIV Multispot HIV-1/HIV-2 Rapid Test Kit',Multispot,300mg,'Test kit',49.049049,928.926013,104.755919,'Bio-Rad Laboratories','HIV test'
FPQ-11539,'Direct Drop',EXW,2/26/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-10349,'Direct Drop',EXW,8/10/12,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-12518,'Direct Drop',EXW,8/12/13,'HIV 1/2 Colloidal Gold Diagnostic Kit Antibody','Colloidal Gold',300mg,'Test kit',0,18.20695,102.6608,'KHB Test Kit Facility Shanghai China','HIV test'
'Pre-PQ Process','Direct Drop',FCA,'N/A - From RDC','HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden','HIV test'
'Pre-PQ Process','Direct Drop',EXW,8/21/08,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,53.498707,3.01697,'Inverness Japan','HIV test'
'Pre-PQ Process','Direct Drop',EXW,5/14/09,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
FPQ-14236,'Direct Drop',EXW,5/20/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-10606,'Direct Drop',EXW,10/10/12,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-14305,'Direct Drop',EXW,6/2/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-8261,'Direct Drop',EXW,9/14/11,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-4032,'Direct Drop',EXW,8/18/09,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,52.019857,2.933166,'Inverness Japan','HIV test'
FPQ-3885,'Direct Drop',EXW,7/7/09,'HIV 1/2 Bioline 3.0 Kit (no accessories)',Bioline,300mg,'Test kit',29.029029,17.835379,3.352189,'Standard Diagnostics Korea','HIV test'
'Pre-PQ Process','Direct Drop',EXW,3/31/09,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','Direct Drop',EXW,6/21/07,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-11539,'Direct Drop',EXW,2/26/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-6983,'Direct Drop',EXW,2/2/11,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-10765,'Direct Drop',EXW,10/16/12,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,21.551083,6.075843,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-14100,'Direct Drop',EXW,5/20/14,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','Direct Drop',EXW,4/9/09,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
'Pre-PQ Process','Direct Drop',EXW,5/18/09,'HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit',24.024024,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-15504,'Direct Drop',EXW,3/13/15,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-4587,'Direct Drop',EXW,12/2/09,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
FPQ-16474,'Direct Drop',EXW,6/25/15,'HIV 1/2 OraQuick Advance HIV Rapid Antibody Kit',OraQuick,300mg,'Test kit',99.099099,260.099284,14.665829,'Pacific Biotech Thailand','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,14.862816,3.352189,'Standard Diagnostics Korea','HIV test'
FPQ-5613,'Direct Drop',EXW,8/10/10,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Inverness Japan','HIV test'
FPQ-14253,'Direct Drop',EXW,7/9/14,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,15.234387,3.435994,'Standard Diagnostics Korea','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,56.478702,7.96145,'Bio-Rad Laboratories','HIV test'
FPQ-11919,'Direct Drop',EXW,9/11/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
'Pre-PQ Process','Direct Drop',EXW,4/20/09,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,52.019857,2.933166,'Inverness Japan','HIV test'
FPQ-14694,'Direct Drop',EXW,8/14/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,74.314081,4.190237,'Alere Medical Co. Ltd.','HIV test'
FPQ-8929,'Direct Drop',EXW,1/17/12,'HIV 1/2 Stat-Pak HIV Kit',Stat-Pak,300mg,'Test kit',19.019019,21.551083,6.075843,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-12252,'Direct Drop',EXW,5/22/13,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-14995,'Direct Drop',EXW,10/29/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,66.139532,3.729311,'Alere Medical Co. Ltd.','HIV test'
FPQ-10046,'From RDC','N/A - From RDC','N/A - From RDC','HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-16001,'Direct Drop',EXW,3/16/15,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-10785,'Direct Drop',DDP,10/16/12,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,98.837728,5.573015,'Alere Medical Co. Ltd.','HIV test'
FPQ-10537,'Direct Drop',EXW,9/12/12,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-14713,'Direct Drop',EXW,8/28/14,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
'Pre-PQ Process','Direct Drop',EXW,8/26/08,'HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit',24.024024,55.735561,12.57071,'Inverness Japan','HIV test'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,14.862816,3.352189,'Standard Diagnostics Korea','HIV test'
FPQ-13443,'Direct Drop',EXW,2/3/14,'HIV 1/2 Stat-Pak Dipstick Assay Kit',Stat-Pak,300mg,'Test kit',29.029029,20.510686,3.855018,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-13125,'Direct Drop',EXW,12/4/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
FPQ-10907,'Direct Drop',EXW,11/21/12,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
